ticker,OTTR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.1667
2000-01-04,-2.8668
2000-01-05,2.7778
2000-01-06,2.7027
2000-01-07,0.0
2000-01-10,2.3026
2000-01-11,1.6077
2000-01-12,-1.2658
2000-01-13,2.5641
2000-01-14,-1.25
2000-01-18,-2.2152
2000-01-19,-4.2071
2000-01-20,3.3784
2000-01-21,-2.6144
2000-01-24,-0.6711
2000-01-25,0.3378
2000-01-26,5.0505
2000-01-27,0.3205
2000-01-28,-4.1534
2000-01-31,-5.0
2000-02-01,6.3158
2000-02-02,2.9703
2000-02-03,5.7692
2000-02-04,0.8333
2000-02-07,0.3757
2000-02-08,-6.2874
2000-02-09,0.9585
2000-02-10,0.6329
2000-02-11,1.7547000000000001
2000-02-14,-1.4085
2000-02-15,-0.6349
2000-02-16,-0.3195
2000-02-17,0.0
2000-02-18,-1.3221
2000-02-22,-5.1563
2000-02-23,3.2534
2000-02-24,0.4975
2000-02-25,-2.3102
2000-02-28,-0.5912
2000-02-29,0.5947
2000-03-01,4.0541
2000-03-02,-1.7856999999999998
2000-03-03,-1.157
2000-03-06,-0.1672
2000-03-07,-0.5025
2000-03-08,0.1684
2000-03-09,-0.3361
2000-03-10,-0.1686
2000-03-13,1.1824
2000-03-14,0.1669
2000-03-15,-0.3333
2000-03-16,12.3746
2000-03-17,0.0
2000-03-20,-1.4881
2000-03-21,-1.6616
2000-03-22,3.2258
2000-03-23,-3.2738
2000-03-24,0.3077
2000-03-27,0.0
2000-03-28,-4.2945
2000-03-29,2.5641
2000-03-30,-0.3125
2000-03-31,0.0
2000-04-03,0.627
2000-04-04,-2.4922
2000-04-05,0.639
2000-04-06,0.3175
2000-04-07,-2.5316
2000-04-10,5.8442
2000-04-11,2.7607
2000-04-12,0.2985
2000-04-13,0.0
2000-04-14,2.3810000000000002
2000-04-17,4.0698
2000-04-18,-1.1173
2000-04-19,-1.6949
2000-04-20,3.4483
2000-04-24,0.8333
2000-04-25,-0.8264
2000-04-26,3.3333
2000-04-27,-1.0753
2000-04-28,13.0435
2000-05-01,-2.8846
2000-05-02,-11.8812
2000-05-03,-1.1236
2000-05-04,2.2727
2000-05-05,0.0
2000-05-08,-4.4444
2000-05-09,3.4884
2000-05-10,-1.6854
2000-05-11,2.88
2000-05-12,-5.0562
2000-05-15,3.5503
2000-05-16,3.4286
2000-05-17,-6.0773
2000-05-18,-2.9412000000000003
2000-05-19,0.0
2000-05-22,3.0303
2000-05-23,-1.7647
