ticker,BCOV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-02-17,30.0
2012-02-21,5.9441
2012-02-22,-2.0462
2012-02-23,0.7412
2012-02-24,1.0033
2012-02-27,-1.6556
2012-02-28,1.0093
2012-02-29,-0.6658
2012-03-01,10.7383
2012-03-02,-1.2121
2012-03-05,-4.6012
2012-03-06,-1.6077
2012-03-07,-6.6013
2012-03-08,9.0973
2012-03-09,3.2713
2012-03-12,3.4783
2012-03-13,-0.6002
2012-03-14,6.5217
2012-03-15,12.585
2012-03-16,6.3444
2012-03-19,-4.8769
2012-03-20,-1.6924000000000001
2012-03-21,-2.3291
2012-03-22,5.5988
2012-03-23,2.8473
2012-03-26,3.58
2012-03-27,2.9032
2012-03-28,6.3144
2012-03-29,4.6757
2012-03-30,-0.2012
2012-04-02,-6.371
2012-04-03,-4.2205
2012-04-04,-2.8777
2012-04-05,1.6204
2012-04-09,-9.7039
2012-04-10,-3.7841
2012-04-11,-7.2889
2012-04-12,4.129
2012-04-13,4.8886
2012-04-16,-6.2661999999999995
2012-04-17,-3.2597
2012-04-18,0.4569
2012-04-19,0.3411
2012-04-20,1.1898
2012-04-23,-0.4479
2012-04-24,-1.4623
2012-04-25,-3.3105
2012-04-26,7.2019
2012-04-27,8.6454
2012-04-30,-4.9671
2012-05-01,5.76
2012-05-02,-4.6394
2012-05-03,0.4759
2012-05-04,1.6316000000000002
2012-05-07,-11.2895
2012-05-08,-1.4594
2012-05-09,-0.237
2012-05-10,-1.0095
2012-05-11,-8.5183
2012-05-14,-6.2951
2012-05-15,0.7698
2012-05-16,3.5417
2012-05-17,-4.0241
2012-05-18,3.1447
2012-05-21,-1.8293
2012-05-22,-6.8323
2012-05-23,-4.3704
2012-05-24,2.1689
2012-05-25,4.1698
2012-05-29,-4.0029
2012-05-30,-5.4587
2012-05-31,1.6840000000000002
2012-06-01,-2.6025
2012-06-04,0.4858
2012-06-05,4.1902
2012-06-06,2.2428
2012-06-07,6.0514
2012-06-08,5.0642
2012-06-11,-1.833
2012-06-12,4.5643
2012-06-13,0.2646
2012-06-14,-3.5620000000000003
2012-06-15,4.1724
2012-06-18,1.5758
2012-06-19,3.5553
2012-06-20,-1.4357
2012-06-21,-5.0032
2012-06-22,5.5333
2012-06-25,-0.7581
2012-06-26,1.7823
2012-06-27,0.9381
2012-06-28,-4.9566
2012-06-29,-0.1956
2012-07-02,4.4415
2012-07-03,2.6266
2012-07-05,-4.7532
2012-07-06,-5.8221
2012-07-09,-6.3179
