ticker,SPRT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-07-19,133.0357
2000-07-20,9.1954
2000-07-21,-7.7193000000000005
2000-07-24,0.3802
2000-07-25,6.0606
2000-07-26,-3.9286
2000-07-27,-6.3197
2000-07-28,-7.9365
2000-07-31,17.6724
2000-08-01,-7.6923
2000-08-02,-8.7302
2000-08-03,0.0
2000-08-04,5.2174
2000-08-07,10.7438
2000-08-08,-0.3731
2000-08-09,-2.6217
2000-08-10,-7.6923
2000-08-11,-2.5
2000-08-14,-2.5641
2000-08-15,-1.3158
2000-08-16,-9.3333
2000-08-17,-3.9215999999999998
2000-08-18,-3.0612
2000-08-21,2.1053
2000-08-22,-3.0928
2000-08-23,0.266
2000-08-24,9.0186
2000-08-25,21.6545
2000-08-28,4.0
2000-08-29,3.0769
2000-08-30,-2.9851
2000-08-31,-4.5673
2000-09-01,-3.2746
2000-09-05,2.5
2000-09-06,-4.065
2000-09-07,-1.6949
2000-09-08,-0.431
2000-09-11,-6.4935
2000-09-12,0.0
2000-09-13,8.7963
2000-09-14,5.7447
2000-09-15,0.0
2000-09-18,-4.2254
2000-09-19,-6.3025
2000-09-20,1.3453
2000-09-21,5.7522
2000-09-22,0.8368
2000-09-25,7.8838
2000-09-26,0.0
2000-09-27,-10.7692
2000-09-28,0.8621
2000-09-29,4.7009
2000-10-02,2.8571
2000-10-03,-9.127
2000-10-04,-5.6769
2000-10-05,0.0
2000-10-06,-3.7037
2000-10-09,-5.2885
2000-10-10,-2.7919
2000-10-11,-14.8825
2000-10-12,-10.1227
2000-10-13,-10.9215
2000-10-16,8.046
2000-10-17,3.5461
2000-10-18,10.6164
2000-10-19,26.935
2000-10-20,4.3902
2000-10-23,-27.3364
2000-10-24,-6.4309
2000-10-25,-0.3436
2000-10-26,-0.6897
2000-10-27,-9.375
2000-10-30,-4.9808
2000-10-31,-8.0645
2000-11-01,1.7544
2000-11-02,9.4828
2000-11-03,-2.7559
2000-11-06,-8.502
2000-11-07,4.4248
2000-11-08,-18.2203
2000-11-09,0.5181
2000-11-10,-9.2784
2000-11-13,0.0
2000-11-14,18.1818
2000-11-15,-9.6154
2000-11-16,4.2553
2000-11-17,-16.8367
2000-11-20,-0.6135
2000-11-21,-1.2346
2000-11-22,0.0
2000-11-24,0.625
2000-11-27,3.7267
2000-11-28,5.3892
2000-11-29,1.1364
2000-11-30,26.4045
2000-12-01,4.0
2000-12-04,-9.4017
2000-12-05,11.3208
2000-12-06,3.3898
2000-12-07,3.2787
