ticker,XERI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-01-10,33.3333
2013-02-15,104.375
2013-02-19,40.6728
2013-02-25,-34.7826
2013-03-13,33.3333
2013-04-16,-25.0
2013-04-17,-26.6667
2013-05-24,-5.4545
2013-06-24,111.5385
2013-07-23,-53.6364
2013-10-15,37.2549
2013-10-16,107.1429
2013-10-17,-13.7931
2013-10-18,100.0
2013-10-21,0.0
2013-10-23,0.0
2013-10-24,0.0
2013-10-25,-50.0
2013-10-29,40.0
2013-10-30,42.8571
2013-11-13,-36.0
2013-11-18,-6.25
2013-11-20,16.6667
2013-11-25,-17.1429
2013-11-27,0.0
2013-12-05,0.0
2013-12-19,-13.7931
2013-12-26,0.0
2014-01-03,-20.0
2014-01-06,0.0
2014-01-14,-25.0
2014-03-13,53.3333
2014-03-14,-30.4348
2014-03-31,43.75
2014-04-10,52.1739
2014-04-14,17.1071
2014-04-15,0.0305
2014-04-16,-2.439
2014-04-17,5.0
2014-04-21,-4.7917
2014-04-22,-7.4398
2014-04-23,0.0
2014-04-24,-5.4036
2014-04-25,0.1071
2014-04-28,-0.107
2014-04-29,14.2449
2014-04-30,-12.5
2014-05-01,-28.5714
2014-05-02,-4.0
2014-05-05,45.8333
2014-05-06,-28.5714
2014-05-07,0.0
2014-05-08,45.85
2014-05-09,-28.7281
2014-05-12,-3.7999
2014-05-13,-11.95
2014-05-14,4.4861
2014-05-16,13.0435
2014-05-20,-3.8462
2014-05-21,4.0
2014-05-23,-19.1587
2014-05-27,23.6991
2014-05-28,0.0
2014-05-29,-23.0048
2014-06-02,0.0
2014-06-03,0.0
2014-06-04,4.9017
2014-06-06,-4.6726
2014-06-09,0.0
2014-06-12,-0.0937
2014-06-17,0.0
2014-06-18,0.0
2014-06-19,30.0
2014-06-23,7.6923
2014-06-24,7.1429
2014-06-25,-16.6667
2014-06-26,-17.75
2014-06-27,2.1277
2014-06-30,0.0
2014-07-01,0.0
2014-07-02,-38.0357
2014-07-03,26.8012
2014-07-07,33.3333
2014-07-08,22.7273
2014-07-09,-7.4074
2014-07-10,16.0
2014-07-11,0.0
2014-07-14,-6.8966
2014-07-15,3.7037
2014-07-16,10.7143
2014-07-17,16.129
2014-07-18,2.7778
2014-07-21,-13.5135
2014-07-22,9.375
2014-07-23,0.0
2014-07-24,-14.2857
2014-07-25,13.3333
2014-07-28,-11.7647
2014-07-29,6.6667
2014-07-30,-3.125
2014-07-31,0.0
2014-08-01,-4.8387
2014-08-04,-1.6949
