ticker,SODE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-09-08,0.0
2008-09-10,-80.0
2008-09-17,800.0
2008-09-18,0.0
2008-09-30,11.1111
2008-12-18,100.0
2008-12-23,-49.0
2008-12-24,47.0588
2009-01-20,40.0
2009-06-24,52.381
2011-02-07,-93.75
2011-02-16,100.0
2011-03-15,-50.0
2012-11-15,-80.0
2012-12-27,-50.0
2012-12-31,-95.0
2013-02-15,0.0
2013-07-30,0.0
2013-08-01,100.0
2013-11-13,12.5
2014-12-30,43455.5556
2016-06-08,-97.9592
2016-06-09,0.0
2016-06-24,900.0
2016-07-13,-40.0
2016-07-15,0.0
2016-07-28,66.6667
2016-08-05,150.0
2016-09-30,-27.95
2016-11-11,22.1374
2016-11-16,9.0909
2016-12-01,-37.5
2016-12-08,0.0
2016-12-16,-33.3333
2016-12-22,90.0
2017-05-04,5.2632
2017-05-15,25.0
2017-05-17,0.0
2017-06-21,0.0
2017-08-15,-40.0
2017-09-14,0.0
2017-09-15,-13.3333
2017-09-25,0.0
2017-09-27,7.6923
2017-09-28,0.0
2017-10-11,-14.2857
2017-10-12,-16.6667
2017-10-20,-40.0
2017-11-09,-16.6667
2017-11-10,0.0
2017-11-13,120.0
2017-11-14,9.0909
2017-11-15,-8.4167
2017-11-16,13.7398
2017-11-17,-57.632
2017-11-20,32.1752
2017-11-21,2.2143
2017-11-22,-9.1544
2017-11-24,15.3846
2017-11-27,-22.0
2017-11-28,-23.0769
2017-11-29,33.3333
2017-11-30,-1.6667
2017-12-01,-1.6949
2017-12-04,-23.2759
2017-12-05,-10.1124
2017-12-06,47.5
2017-12-07,30.5085
2017-12-08,-2.5974
2017-12-11,20.0
2017-12-12,-2.2222
2017-12-13,-9.0909
2017-12-14,11.25
2017-12-18,57.3034
2017-12-19,19.6429
2017-12-20,13.4328
2017-12-21,-18.4211
2017-12-22,-3.6129
2017-12-26,1.071
2017-12-27,-6.6225000000000005
2017-12-28,-7.8014
2017-12-29,0.0
2018-01-02,-15.3846
2018-01-03,0.0
2018-01-04,17.2727
2018-01-05,-34.1085
2018-01-08,17.647100000000002
2018-01-09,0.0
2018-01-10,-25.0
2018-01-11,0.0
2018-01-12,17.2
2018-01-16,0.1138
2018-01-17,-22.7273
2018-01-19,-11.7647
2018-01-22,31.6667
2018-01-29,-24.0506
2018-01-30,-40.0
2018-02-01,94.4444
2018-02-02,12.857099999999999
2018-02-05,-42.1519
2018-02-06,64.1138
2018-02-07,-48.0
2018-02-08,51.2821
