ticker,HMST US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-02-10,9.0909
2012-02-13,5.7708
2012-02-14,-1.6151
2012-02-15,0.3003
2012-02-16,0.3194
2012-02-17,0.955
2012-02-21,1.0051
2012-02-22,-1.8537
2012-02-23,1.4910999999999999
2012-02-24,1.665
2012-02-27,0.0
2012-02-28,1.0597
2012-02-29,1.0486
2012-03-01,0.9434
2012-03-02,1.1215
2012-03-05,-1.0536
2012-03-06,-1.9242
2012-03-07,-0.4762
2012-03-08,-0.0383
2012-03-09,2.0678
2012-03-12,3.7704
2012-03-13,-0.5785
2012-03-14,1.3091
2012-03-15,4.0919
2012-03-16,-4.4483
2012-03-19,0.83
2012-03-20,0.7874
2012-03-21,-1.1009
2012-03-22,-3.0162
2012-03-23,0.1111
2012-03-26,2.8476
2012-03-27,-2.0496
2012-03-28,1.3216
2012-03-29,-2.2826
2012-03-30,3.0775
2012-04-02,0.6115
2012-04-03,-0.6078
2012-04-04,0.5036
2012-04-05,-1.1095
2012-04-09,1.1582
2012-04-10,-2.5403000000000002
2012-04-11,2.5698
2012-04-12,0.5727
2012-04-13,0.9964
2012-04-16,6.5539
2012-04-17,7.4074
2012-04-18,4.8337
2012-04-19,0.1762
2012-04-20,-0.3811
2012-04-23,-5.0618
2012-04-24,2.1079
2012-04-25,0.4554
2012-04-26,-0.4835
2012-04-27,1.7309
2012-04-30,4.2388
2012-05-01,-0.4296
2012-05-02,0.3739
2012-05-03,-1.7191999999999998
2012-05-04,-1.312
2012-05-07,1.9202
2012-05-08,-0.8696
2012-05-09,1.4912
2012-05-10,0.3745
2012-05-11,-0.1148
2012-05-14,-0.5172
2012-05-15,-1.9064
2012-05-16,-2.4441
2012-05-17,0.3622
2012-05-18,0.6015
2012-05-21,-0.7773
2012-05-22,0.0603
2012-05-23,0.7829
2012-05-24,3.0774
2012-05-25,0.058
2012-05-29,-0.029
2012-05-30,-3.738
2012-05-31,-0.6623
2012-06-01,-1.7273
2012-06-04,0.5242
2012-06-05,0.1534
2012-06-06,1.072
2012-06-07,-1.3939
2012-06-08,1.4136
2012-06-11,-0.6364
2012-06-12,0.6404
2012-06-13,-0.8788
2012-06-14,-1.498
2012-06-15,-0.3104
2012-06-18,-1.2453
2012-06-19,3.2787
2012-06-20,-1.6178
2012-06-21,-0.4034
2012-06-22,2.8971999999999998
2012-06-25,-1.9982
2012-06-26,-1.9771
2012-06-27,-0.7879
2012-06-28,-0.3971
2012-06-29,2.0252
2012-07-02,0.4689
