ticker,ATLC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.2987
2000-01-04,-8.7171
2000-01-05,-13.5135
2000-01-06,1.6667
2000-01-07,0.4098
2000-01-10,-0.4082
2000-01-11,-6.9672
2000-01-12,0.6608
2000-01-13,7.221
2000-01-14,1.6327
2000-01-18,3.6145
2000-01-19,-7.3643
2000-01-20,1.2551999999999999
2000-01-21,3.719
2000-01-24,-1.992
2000-01-25,1.626
2000-01-26,-2.2
2000-01-27,1.4315
2000-01-28,2.621
2000-01-31,10.0196
2000-02-01,6.0714
2000-02-02,4.0404
2000-02-03,0.9709
2000-02-04,4.8077
2000-02-07,1.5291000000000001
2000-02-08,3.9157
2000-02-09,-9.5652
2000-02-10,1.2821
2000-02-11,-8.7025
2000-02-14,-5.5459
2000-02-15,-0.5505
2000-02-16,-0.738
2000-02-17,-0.3717
2000-02-18,-6.9030000000000005
2000-02-22,-2.1042
2000-02-23,-3.3777
2000-02-24,-3.3898
2000-02-25,13.1579
2000-02-28,0.7752
2000-02-29,1.5385
2000-03-01,8.7121
2000-03-02,-3.6585
2000-03-03,5.6058
2000-03-06,-5.4795
2000-03-07,-2.8986
2000-03-08,-4.8507
2000-03-09,4.7059
2000-03-10,3.5581
2000-03-13,0.5425
2000-03-14,1.0791
2000-03-15,2.1352
2000-03-16,4.878
2000-03-17,2.3256
2000-03-20,-0.3653
2000-03-21,-8.5947
2000-03-22,0.3565
2000-03-23,1.421
2000-03-24,3.8529
2000-03-27,1.1804000000000001
2000-03-28,-0.5
2000-03-29,-9.2127
2000-03-30,-1.845
2000-03-31,8.8346
2000-04-03,-3.2815
2000-04-04,-4.1071
2000-04-05,4.4693
2000-04-06,2.3173
2000-04-07,0.6969
2000-04-10,-2.4221
2000-04-11,2.8369
2000-04-12,0.3448
2000-04-13,-0.3436
2000-04-14,-9.8276
2000-04-17,-4.0153
2000-04-18,10.3586
2000-04-19,2.5271
2000-04-20,-2.8169
2000-04-24,-6.8841
2000-04-25,2.3346
2000-04-26,-2.4715
2000-04-27,2.924
2000-04-28,-0.5682
2000-05-01,0.9524
2000-05-02,3.3962
2000-05-03,-5.1095
2000-05-04,0.0
2000-05-05,0.1923
2000-05-08,0.3839
2000-05-09,0.956
2000-05-10,-0.7576
2000-05-11,3.8167999999999997
2000-05-12,-1.8382
2000-05-15,2.809
2000-05-16,-3.2787
2000-05-17,-2.0716
2000-05-18,-2.3077
2000-05-19,-1.5748
2000-05-22,-4.0
2000-05-23,-3.9583
