ticker,ARMK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-12-12,13.5
2013-12-13,4.978
2013-12-16,-0.5455
2013-12-17,-1.0127
2013-12-18,2.3018
2013-12-19,-1.25
2013-12-20,0.9283
2013-12-23,1.0452
2013-12-24,0.9102
2013-12-26,4.551
2013-12-27,1.8824
2013-12-30,-0.6543
2013-12-31,1.5885
2014-01-02,-3.2418
2014-01-03,0.7095
2014-01-06,-4.5401
2014-01-07,-0.164
2014-01-08,0.0
2014-01-09,1.2731
2014-01-10,0.4866
2014-01-13,0.8071
2014-01-14,-0.3603
2014-01-15,-0.2411
2014-01-16,-0.0403
2014-01-17,-1.249
2014-01-21,1.5096
2014-01-22,0.1206
2014-01-23,0.281
2014-01-24,-4.1633
2014-01-27,-1.2530999999999999
2014-01-28,3.4264
2014-01-29,-1.0225
2014-01-30,2.1074
2014-01-31,0.0
2014-02-03,0.4047
2014-02-04,0.7255
2014-02-05,4.4418
2014-02-06,-0.9579
2014-02-07,-0.9284
2014-02-10,3.2800000000000002
2014-02-11,1.0208
2014-02-12,3.4431
2014-02-13,1.5737999999999999
2014-02-14,0.1786
2014-02-18,1.1408
2014-02-19,0.0352
2014-02-20,-0.2819
2014-02-21,-0.1767
2014-02-24,0.0354
2014-02-25,0.7077
2014-02-26,0.2108
2014-02-27,-1.087
2014-02-28,-0.1772
2014-03-03,-1.4205
2014-03-04,2.5216
2014-03-05,0.1405
2014-03-06,0.1404
2014-03-07,2.2775
2014-03-10,1.2676
2014-03-11,-2.1989
2014-03-12,-0.9685
2014-03-13,-1.3622
2014-03-14,-3.0453
2014-03-17,0.2557
2014-03-18,1.8215
2014-03-19,0.2504
2014-03-20,3.0335
2014-03-21,3.5331
2014-03-24,-2.6096
2014-03-25,-2.6795
2014-03-26,-1.6237
2014-03-27,2.5834
2014-03-28,-0.3847
2014-03-31,1.5449000000000002
2014-04-01,-0.7953
2014-04-02,0.6623
2014-04-03,-0.6925
2014-04-04,-2.8590999999999998
2014-04-07,-1.1486
2014-04-08,-1.1619
2014-04-09,2.6818999999999997
2014-04-10,-2.0751
2014-04-11,-0.548
2014-04-14,1.7267000000000001
2014-04-15,0.7584
2014-04-16,-0.0358
2014-04-17,0.5378
2014-04-21,0.535
2014-04-22,1.0287
2014-04-23,-0.316
2014-04-24,-0.5636
2014-04-25,-0.8856
2014-04-28,-0.7505
2014-04-29,0.6842
2014-04-30,0.8226
2014-05-01,-0.4612
2014-05-02,0.2138
2014-05-05,0.1778
