ticker,KRTX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-06-28,25.125
2019-07-01,4.8951
2019-07-02,3.3333
2019-07-03,12.6728
2019-07-05,11.8609
2019-07-08,-11.1517
2019-07-09,-3.251
2019-07-10,-16.3335
2019-07-11,-6.1007
2019-07-12,9.0417
2019-07-15,0.149
2019-07-16,-2.2806
2019-07-17,-1.1669
2019-07-18,2.0021
2019-07-19,-0.9059
2019-07-22,0.2539
2019-07-23,3.3941
2019-07-24,-1.0779
2019-07-25,-3.4175
2019-07-26,0.8205
2019-07-29,-1.3733
2019-07-30,-0.722
2019-07-31,-4.7792
2019-08-01,1.5821
2019-08-02,0.9667
2019-08-05,2.2872
2019-08-06,-7.5403
2019-08-07,-2.1372
2019-08-08,7.4713
2019-08-09,18.0749
2019-08-12,1.4493
2019-08-13,0.4464
2019-08-14,-2.2222
2019-08-15,-0.8636
2019-08-16,1.1004
2019-08-19,-3.7188
2019-08-20,1.366
2019-08-21,-3.0204
2019-08-22,-0.0958
2019-08-23,-3.5971
2019-08-26,1.791
2019-08-27,-5.4252
2019-08-28,-0.7235
2019-08-29,-1.822
2019-08-30,4.825
2019-09-03,-8.700099999999999
2019-09-04,1.1634
2019-09-05,10.5148
2019-09-06,-1.3875
2019-09-09,-10.3518
2019-09-10,-4.8767
2019-09-11,-4.7731
2019-09-12,0.9282
2019-09-13,1.8394
2019-09-16,-3.3715
2019-09-17,0.3738
2019-09-18,5.0279
2019-09-19,-0.0591
2019-09-20,-0.7096
2019-09-23,3.6330999999999998
2019-09-24,-5.3448
2019-09-25,-0.9715
2019-09-26,-0.4905
2019-09-27,0.4313
2019-09-30,0.1227
2019-10-01,-7.598
2019-10-02,-7.4271
2019-10-03,-6.8768
2019-10-04,6.5385
2019-10-07,7.0758
2019-10-08,-2.4275
2019-10-09,2.0733
2019-10-10,-7.2444
2019-10-11,-9.927
2019-10-14,-5.1053
2019-10-15,-2.3057
2019-10-16,17.0455
2019-10-17,-0.7468
2019-10-18,17.231
2019-10-21,-4.878
2019-10-22,-5.4656
2019-10-23,3.0692
2019-10-24,-3.1856
2019-10-25,4.0773
2019-10-28,-5.0172
2019-10-29,-7.5977
2019-10-30,7.5176
2019-10-31,1.3838
2019-11-01,8.8362
2019-11-04,2.9043
2019-11-05,10.9686
2019-11-06,-1.4451
2019-11-07,4.1642
2019-11-08,0.1689
2019-11-11,-3.0354
2019-11-12,-1.3913
2019-11-13,3.7625
2019-11-14,-1.4731
2019-11-15,1.6676
