ticker,SOLI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-01-11,400.0
2008-01-17,0.0
2008-01-18,-50.0
2008-01-28,-20.0
2008-01-30,-25.0
2008-02-12,3.3333
2008-02-13,-67.7419
2008-03-17,-50.0
2008-03-18,100.0
2008-04-04,-20.0
2008-04-07,25.0
2008-04-08,75.0
2008-04-09,-28.5714
2008-04-10,4.0
2008-04-11,-42.3077
2008-04-14,13.3333
2008-04-15,0.0
2008-04-16,-5.8824
2008-04-17,3.125
2008-04-23,81.8182
2008-04-24,16.6667
2008-04-25,40.0
2008-04-28,106.1224
2008-05-02,48.5149
2008-05-06,0.0
2008-05-07,0.0
2008-05-08,6.6667
2008-05-09,0.0
2008-05-15,0.0
2008-05-16,-6.25
2008-05-19,0.0
2008-05-23,6.6667
2008-05-27,-21.875
2008-05-30,28.0
2008-06-02,33.75
2008-06-03,-20.5607
2008-06-04,-38.8235
2008-06-05,-26.9231
2008-06-06,-1.3158
2008-06-09,34.6667
2008-06-10,13.8614
2008-06-11,8.6957
2008-06-12,1.6
2008-06-13,-10.2362
2008-06-16,-19.2982
2008-06-17,2.1739
2008-06-18,5.3191
2008-06-19,-1.0101
2008-06-20,1.0204
2008-06-23,-14.1414
2008-06-24,-5.8824
2008-06-25,-3.75
2008-06-26,-15.5844
2008-06-27,21.5385
2008-06-30,1.2658
2008-07-01,-18.75
2008-07-02,26.1538
2008-07-03,-7.3171
2008-07-07,-14.473700000000001
2008-07-08,-23.0769
2008-07-09,0.0
2008-07-10,-82.0
2008-07-11,-50.0
2008-07-14,-33.3333
2008-07-15,-43.3333
2008-07-16,-5.8824
2008-07-17,-25.0
2008-07-18,8.3333
2008-07-21,-7.6923
2008-07-22,16.6667
2008-07-23,-14.2857
2008-07-24,-20.8333
2008-07-25,-15.7895
2008-07-28,25.0
2008-07-29,-38.75
2008-07-30,46.9388
2008-07-31,0.0
2008-08-01,0.0
2008-08-04,0.0
2008-08-05,0.0
2008-08-06,11.1111
2008-08-07,-20.0
2008-08-08,0.0
2008-08-11,12.5
2008-08-12,66.6667
2008-08-13,20.0
2008-08-14,0.0
2008-08-15,-55.5556
2008-08-18,12.5
2008-08-19,-33.3333
2008-08-20,16.6667
2008-08-21,-14.2857
2008-08-22,16.6667
2008-08-25,0.0
2008-08-26,28.5714
2008-08-27,0.0
2008-08-28,0.0
2008-08-29,22.2222
2008-09-02,-9.0909
2008-09-03,-20.0
2008-09-04,25.0
2008-09-05,-28.75
2008-09-08,-1.7544
