ticker,ARCH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-10-06,-2.6825
2016-10-07,0.6361
2016-10-10,5.9806
2016-10-11,1.6822
2016-10-12,1.8197999999999999
2016-10-13,-1.0783
2016-10-14,0.2538
2016-10-17,2.8597
2016-10-18,1.1729
2016-10-19,1.8463
2016-10-20,0.8994
2016-10-21,5.8496
2016-10-24,-0.6579
2016-10-25,0.2384
2016-10-26,-0.5682
2016-10-27,-2.4319
2016-10-28,-0.3677
2016-10-31,0.3144
2016-11-01,0.0273
2016-11-02,-0.6948
2016-11-03,-2.2088
2016-11-04,-4.6016
2016-11-07,0.0
2016-11-08,5.1765
2016-11-09,10.4446
2016-11-10,7.8111
2016-11-11,-0.4345
2016-11-14,-0.1297
2016-11-15,-2.2674
2016-11-16,-4.2291
2016-11-17,-6.6995000000000005
2016-11-18,-1.7309
2016-11-21,-1.266
2016-11-22,7.7631
2016-11-23,1.6555
2016-11-25,-3.9949
2016-11-28,0.9409
2016-11-29,-0.4464
2016-11-30,2.9012000000000002
2016-12-01,-0.3973
2016-12-02,2.0587
2016-12-05,4.0091
2016-12-06,1.2485
2016-12-07,1.2810000000000001
2016-12-08,-2.1395
2016-12-09,-3.3096
2016-12-12,4.5472
2016-12-13,-2.2702999999999998
2016-12-14,-3.13
2016-12-15,1.3126
2016-12-16,-1.5822
2016-12-19,1.0506
2016-12-20,4.0336
2016-12-21,-2.5888
2016-12-22,-4.2645
2016-12-23,1.2137
2016-12-27,0.995
2016-12-28,-0.0884
2016-12-29,-1.2263
2016-12-30,-0.1024
2017-01-03,-3.9206
2017-01-04,0.2
2017-01-05,-0.4924
2017-01-06,-3.357
2017-01-09,-2.1727
2017-01-10,1.839
2017-01-11,4.5283999999999995
2017-01-12,1.0631
2017-01-13,-1.407
2017-01-17,-2.5874
2017-01-18,-0.0548
2017-01-19,-1.0822
2017-01-20,1.7865
2017-01-23,0.517
2017-01-24,1.34
2017-01-25,-0.561
2017-01-26,-0.9671
2017-01-27,-0.1085
2017-01-30,-1.833
2017-01-31,-0.4288
2017-02-01,0.6807
2017-02-02,1.4763
2017-02-03,-2.2434
2017-02-06,-1.363
2017-02-07,-0.2679
2017-02-08,-2.6863
2017-02-09,3.0946
2017-02-10,-1.9306999999999999
2017-02-13,-1.0346
2017-02-14,-0.3194
2017-02-15,1.7043
2017-02-16,3.2799
2017-02-17,5.5193
2017-02-21,-2.7467
2017-02-22,-0.2838
2017-02-23,-0.9215
2017-02-24,-1.5319
