ticker,VBIO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-03-06,1.3699
2012-03-07,1.3514
2012-03-08,5.3333
2012-03-09,7.5949
2012-03-12,10.5882
2012-03-13,9.5745
2012-03-14,2.9126
2012-03-15,-3.7736
2012-03-16,0.0
2012-03-19,3.9215999999999998
2012-03-20,7.5472
2012-03-21,12.2807
2012-03-22,7.8125
2012-03-23,1.4493
2012-03-26,3.5714
2012-03-27,33.7931
2012-03-28,67.0103
2012-03-29,-55.2469
2012-03-30,9.6552
2012-04-02,16.3522
2012-04-03,12.4324
2012-04-04,5.7692
2012-04-05,12.2727
2012-04-09,-17.8138
2012-04-10,8.3744
2012-04-11,-6.8182
2012-04-12,-0.9756
2012-04-13,-9.3596
2012-04-16,-8.1522
2012-04-17,-10.0592
2012-04-18,3.9474
2012-04-19,1.8987
2012-04-20,-0.6211
2012-04-23,-6.875
2012-04-24,-10.0671
2012-04-25,-17.9104
2012-04-26,-24.3636
2012-04-27,-18.2692
2012-04-30,30.7353
2012-05-01,-2.8121
2012-05-02,-13.0787
2012-05-03,-9.4541
2012-05-04,2.9412000000000003
2012-05-07,8.5714
2012-05-08,10.526299999999999
2012-05-09,8.3333
2012-05-10,2.1978
2012-05-11,-15.5914
2012-05-14,-8.9172
2012-05-15,-6.993
2012-05-16,0.7519
2012-05-17,-5.9701
2012-05-18,-14.2857
2012-05-21,-1.8519
2012-05-22,-13.2075
2012-05-23,0.0
2012-05-24,4.3478
2012-05-25,3.5417
2012-05-29,2.6157
2012-05-30,3.9215999999999998
2012-05-31,-5.6604
2012-06-01,-10.0
2012-06-04,-6.6667
2012-06-05,14.2857
2012-06-06,-4.1667
2012-06-07,8.6957
2012-06-08,-6.0
2012-06-11,0.0
2012-06-12,-2.1277
2012-06-13,0.0
2012-06-14,0.0
2012-06-15,4.3478
2012-06-18,3.125
2012-06-19,-1.0101
2012-06-20,-6.1224
2012-06-21,-2.1739
2012-06-22,-6.6667
2012-06-25,-4.1667
2012-06-26,0.6211
2012-06-27,1.2346
2012-06-28,7.0732
2012-06-29,-4.328
2012-07-02,1.1905000000000001
2012-07-03,-5.8824
2012-07-05,2.5
2012-07-06,4.878
2012-07-09,1.1628
2012-07-10,-3.4483
2012-07-11,2.3810000000000002
2012-07-12,4.6512
2012-07-13,0.0
2012-07-16,-4.4444
2012-07-17,-2.3256
2012-07-18,0.0
2012-07-19,-2.3810000000000002
2012-07-20,2.439
2012-07-23,-4.7619
2012-07-24,-7.5
