ticker,APVO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-07-22,-1.625
2016-07-25,-14.2328
2016-07-26,2.226
2016-07-27,-20.1464
2016-07-28,-9.0721
2016-07-29,-25.95
2016-08-01,-22.1024
2016-08-02,2.4221
2016-08-03,-0.6757
2016-08-04,4.4218
2016-08-05,-8.1433
2016-08-08,-2.8369
2016-08-09,-3.6496
2016-08-10,2.2727
2016-08-11,2.5926
2016-08-12,10.8303
2016-08-15,2.9316
2016-08-16,-4.4304
2016-08-17,6.6225000000000005
2016-08-18,-0.9317
2016-08-19,4.3887
2016-08-22,-3.6036
2016-08-23,0.3115
2016-08-24,-6.2112
2016-08-25,-1.3245
2016-08-26,1.3423
2016-08-29,-4.9669
2016-08-30,-0.3484
2016-08-31,-4.8951
2016-09-01,-2.5735
2016-09-02,0.0
2016-09-06,-9.434
2016-09-07,-4.1667
2016-09-08,-4.3478
2016-09-09,14.0909
2016-09-12,0.7968
2016-09-13,-5.1383
2016-09-14,2.0833
2016-09-15,-4.0816
2016-09-16,-4.2553
2016-09-19,0.4444
2016-09-20,4.4248
2016-09-21,7.6271
2016-09-22,8.2677
2016-09-23,1.4545
2016-09-26,-2.509
2016-09-27,1.1029
2016-09-28,-4.7273
2016-09-29,-2.2901
2016-09-30,0.0
2016-10-03,-2.3438
2016-10-04,3.6
2016-10-05,7.7219999999999995
2016-10-06,-1.0753
2016-10-07,2.5362
2016-10-10,0.0
2016-10-11,-6.3604
2016-10-12,0.3774
2016-10-13,-3.7594
2016-10-14,-6.25
2016-10-17,-1.6667
2016-10-18,0.4237
2016-10-19,-2.1097
2016-10-20,-0.431
2016-10-21,-0.8658
2016-10-24,0.8734
2016-10-25,0.0
2016-10-26,-0.8658
2016-10-27,-4.8035
2016-10-28,0.9174
2016-10-31,0.4545
2016-11-01,-4.9774
2016-11-02,-8.5714
2016-11-03,-2.0833
2016-11-04,-1.0638
2016-11-07,2.6882
2016-11-08,2.6178
2016-11-09,1.5306
2016-11-10,5.0251
2016-11-11,7.177
2016-11-14,3.125
2016-11-15,-15.1515
2016-11-16,0.0
2016-11-17,-1.0204
2016-11-18,4.6392
2016-11-21,0.0
2016-11-22,0.4926
2016-11-23,-0.9804
2016-11-25,-0.495
2016-11-28,-7.9602
2016-11-29,2.7027
2016-11-30,0.0
2016-12-01,-2.1053
2016-12-02,2.1505
2016-12-05,1.5789
2016-12-06,-0.5181
2016-12-07,-3.125
2016-12-08,6.4516
2016-12-09,0.5051
