ticker,BRBW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-28,30.0
2000-01-31,0.0
2000-02-08,7.6923
2000-02-14,-25.0
2000-02-24,21.4286
2000-03-02,-13.7255
2000-03-07,18.1818
2000-04-14,-19.2308
2000-04-19,0.0
2000-04-27,9.5238
2000-05-19,-6.5217
2000-05-23,6.9767
2000-06-14,10.8696
2000-06-16,-7.8431
2000-06-26,5.3191
2000-07-18,-9.0909
2000-07-19,-3.3333
2000-07-20,8.046
2000-07-24,-2.1277
2000-08-02,-6.5217
2000-08-03,9.3023
2000-08-09,-3.1915
2000-09-11,-2.1978
2000-09-18,2.2472
2000-10-16,0.0
2000-10-31,2.1978
2000-11-01,-1.0753
2000-11-14,2.1739
2000-11-16,-3.1915
2000-11-17,-1.0989
2000-11-20,0.0
2000-11-30,1.1111
2000-12-04,1.0989
2000-12-22,4.3478
2000-12-27,1.0417
2000-12-29,-1.0309
2001-01-03,0.0
2001-01-04,4.1667
2001-01-11,2.0
2001-01-19,-0.9804
2001-01-24,0.9901
2001-01-25,-0.9804
2001-02-01,0.9901
2001-02-06,1.5686
2001-02-14,1.1583
2001-02-15,0.0
2001-02-26,-0.7634
2001-02-28,0.0
2001-03-01,0.7692
2001-03-06,0.7634
2001-03-07,-1.5152
2001-03-13,0.0
2001-03-19,-3.0769
2001-03-22,-0.7937
2001-04-05,-4.0
2001-04-12,2.0833
2001-04-18,-2.0408
2001-04-19,1.6667
2001-05-09,2.0492
2001-05-31,0.241
2001-06-01,0.1603
2001-06-04,-2.0
2001-06-13,-2.0408
2001-06-25,-1.0
2001-07-12,-2.1044
2001-07-13,-1.1178
2001-07-20,1.3043
2001-07-23,-2.1459
2001-07-24,-0.8772
2001-08-06,1.3274
2001-08-09,1.31
2001-08-17,0.5172
2001-08-21,-1.5436999999999999
2001-08-31,-2.1777
2001-09-04,2.2262
2001-09-17,-1.7422
2001-09-20,-2.4823
2001-09-21,-6.8182
2001-09-27,-2.439
2001-10-04,2.5
2001-10-09,2.439
2001-12-06,2.3810000000000002
2001-12-07,2.3256
2001-12-10,4.5455
2001-12-13,2.1739
2001-12-20,2.1277
2001-12-27,-0.8333
2002-01-04,0.8403
2002-01-08,0.0
2002-01-18,-2.5
2002-01-22,-0.8547
2002-01-23,1.7241
2002-01-25,1.6949
2002-01-31,0.0
2002-02-04,-0.8333
2002-02-05,-1.6806999999999999
2002-02-25,-0.1709
2002-02-26,1.7123
2002-03-11,-1.431
2002-03-15,4.6114
