ticker,BLIN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-06-29,0.0
2007-07-02,0.0
2007-07-03,1.0
2007-07-05,-2.9703
2007-07-06,2.0408
2007-07-09,-2.0
2007-07-10,-0.2041
2007-07-11,-0.2045
2007-07-12,2.8689
2007-07-13,-5.5777
2007-07-16,-0.8439
2007-07-17,1.0638
2007-07-18,-2.1053
2007-07-19,0.0
2007-07-20,-1.0753
2007-07-23,0.3954
2007-07-24,-0.3938
2007-07-25,0.0
2007-07-26,-6.3043
2007-07-27,-3.7123
2007-07-30,14.4578
2007-07-31,-1.4566
2007-08-01,-6.8111
2007-08-02,3.6222
2007-08-03,4.2962
2007-08-06,-4.1484
2007-08-07,-0.1646
2007-08-08,-5.8701
2007-08-09,-6.744
2007-08-10,0.7576
2007-08-13,2.005
2007-08-14,4.4226
2007-08-15,-5.8824
2007-08-16,-3.0
2007-08-17,0.7732
2007-08-20,1.7903
2007-08-21,0.5622
2007-08-22,0.1905
2007-08-23,9.7257
2007-08-24,-8.4091
2007-08-27,-0.7444
2007-08-28,-0.25
2007-08-29,-6.015
2007-08-30,6.1333
2007-08-31,5.7789
2007-09-04,-1.1876
2007-09-05,0.2404
2007-09-06,-3.8369
2007-09-07,10.9726
2007-09-10,1.1236
2007-09-11,0.4444
2007-09-12,-0.885
2007-09-13,0.4464
2007-09-14,-2.9778000000000002
2007-09-17,1.924
2007-09-18,-4.4944
2007-09-19,-0.2353
2007-09-20,3.5377
2007-09-21,-8.8838
2007-09-24,-0.5
2007-09-25,0.5025
2007-09-26,0.25
2007-09-27,0.9975
2007-09-28,-0.2469
2007-10-01,-1.4851
2007-10-02,9.0452
2007-10-03,-7.8341
2007-10-04,0.0
2007-10-05,0.0
2007-10-08,-1.25
2007-10-09,-1.7722
2007-10-10,2.8350999999999997
2007-10-11,0.2506
2007-10-12,-0.5
2007-10-15,-0.7538
2007-10-16,-6.3291
2007-10-17,1.3514
2007-10-18,0.2667
2007-10-19,-0.266
2007-10-22,1.0667
2007-10-23,-0.7916
2007-10-24,-6.383
2007-10-25,2.2727
2007-10-26,2.5
2007-10-29,-5.1491
2007-10-30,0.0
2007-10-31,4.5714
2007-11-01,-1.0929
2007-11-02,-7.4586
2007-11-06,1.4925
2007-11-07,-6.7647
2007-11-08,-5.3628
2007-11-09,11.6667
2007-11-12,-10.4478
2007-11-13,16.6667
2007-11-14,-3.1429
2007-11-15,9.1445
2007-11-16,-14.0541
2007-11-19,6.6038
2007-11-20,-3.8348
