ticker,VRCA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-06-15,16.6667
2018-06-18,5.7143
2018-06-19,5.7838
2018-06-20,3.4236
2018-06-21,-0.8893
2018-06-22,-0.1496
2018-06-25,1.5342
2018-06-26,-0.4293
2018-06-27,-2.9135999999999997
2018-06-28,-0.3052
2018-06-29,0.6633
2018-07-02,0.7603
2018-07-03,-1.1569
2018-07-05,0.6107
2018-07-06,0.2529
2018-07-09,-0.1514
2018-07-10,-6.3163
2018-07-11,0.5394
2018-07-12,0.0536
2018-07-13,1.1796
2018-07-16,-2.3847
2018-07-17,-0.5972
2018-07-18,0.4915
2018-07-19,0.1359
2018-07-20,0.1357
2018-07-23,0.813
2018-07-24,0.5914
2018-07-25,-2.4586
2018-07-26,-3.5616
2018-07-27,0.4545
2018-07-30,-0.4525
2018-07-31,-1.1364
2018-08-01,-6.1494
2018-08-02,-12.3699
2018-08-03,-2.5856
2018-08-06,5.4519
2018-08-07,-2.3129
2018-08-08,1.4624
2018-08-09,4.324
2018-08-10,-0.6579
2018-08-13,-0.6623
2018-08-14,7.8667
2018-08-15,-0.2472
2018-08-16,-0.2478
2018-08-17,4.6584
2018-08-20,2.0772
2018-08-21,0.2907
2018-08-22,2.8406000000000002
2018-08-23,-1.3529
2018-08-24,0.5143
2018-08-27,-1.3644
2018-08-28,3.4582
2018-08-29,-4.4011
2018-08-30,1.3986
2018-08-31,1.1494
2018-09-04,-6.5341000000000005
2018-09-05,-2.9787
2018-09-06,4.8246
2018-09-07,-0.4782
2018-09-10,-1.5015
2018-09-11,-1.1585
2018-09-12,0.987
2018-09-13,1.3439
2018-09-14,-1.0247
2018-09-17,-0.3654
2018-09-18,0.6112
2018-09-19,4.4957
2018-09-20,-4.1279
2018-09-21,-1.0309
2018-09-24,-1.0417
2018-09-25,-2.7864
2018-09-26,1.9108
2018-09-27,2.0
2018-09-28,-0.4289
2018-10-01,-0.8
2018-10-02,-1.1787
2018-10-03,0.0
2018-10-04,-6.0891
2018-10-05,-6.484
2018-10-08,1.1437
2018-10-09,1.2721
2018-10-10,-1.9539
2018-10-11,-5.9786
2018-10-12,5.6018
2018-10-15,-0.2151
2018-10-16,0.0
2018-10-17,-3.0172
2018-10-18,2.2963
2018-10-19,-0.1448
2018-10-22,-3.9884
2018-10-23,-0.7553
2018-10-24,-3.653
2018-10-25,2.2907
2018-10-26,-3.3977
2018-10-29,4.0767
2018-10-30,-0.4608
2018-10-31,1.8519
2018-11-01,1.1364
