ticker,SBOW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-05-04,4.3913
2016-05-05,2.374
2016-05-06,-2.319
2016-05-09,-2.1241
2016-05-10,-2.0851
2016-05-11,0.0869
2016-05-12,0.304
2016-05-13,-2.3810000000000002
2016-05-16,8.4257
2016-05-17,-7.9346
2016-05-18,1.7326000000000001
2016-05-19,-0.655
2016-05-20,3.2967
2016-05-23,-6.383
2016-05-24,3.6364
2016-05-26,3.5088
2016-05-27,-1.4830999999999999
2016-05-31,-0.8602
2016-06-01,-2.3861
2016-06-02,-0.8889
2016-06-03,3.1390000000000002
2016-06-06,-1.7391
2016-06-07,2.8761
2016-06-08,-0.8602
2016-06-09,1.9089
2016-06-10,-3.1503
2016-06-13,1.7582
2016-06-14,-0.6479
2016-06-15,0.0
2016-06-16,0.0
2016-06-17,0.0
2016-06-20,8.4348
2016-06-21,-4.6913
2016-06-22,0.0
2016-06-23,0.3366
2016-06-24,-2.0964
2016-06-27,-1.4133
2016-06-28,4.2572
2016-06-29,6.25
2016-07-01,-4.3137
2016-07-05,2.459
2016-07-06,1.0
2016-07-07,-0.9901
2016-07-08,0.04
2016-07-11,-0.04
2016-07-12,1.6
2016-07-13,-1.5748
2016-07-14,3.8
2016-07-15,4.0462
2016-07-18,-0.3704
2016-07-19,1.1152
2016-07-20,-0.7353
2016-07-21,0.037
2016-07-22,-0.3702
2016-07-25,2.1925
2016-07-26,-5.4545
2016-07-28,3.8846
2016-08-02,-2.8138
2016-08-04,4.9524
2016-08-05,-1.9964
2016-08-08,0.0
2016-08-09,0.037
2016-08-10,1.8141
2016-08-11,-1.6364
2016-08-12,0.1848
2016-08-15,-2.214
2016-08-16,2.8302
2016-08-18,-0.9174
2016-08-22,0.7778
2016-08-23,-0.7718
2016-08-24,0.0
2016-08-25,0.4074
2016-08-26,0.0
2016-08-30,4.2051
2016-08-31,-2.6549
2016-09-01,-0.9091
2016-09-06,-0.7706
2016-09-07,4.0126
2016-09-09,-0.4444
2016-09-13,0.0
2016-09-14,-0.8929
2016-09-15,0.9009
2016-09-16,2.6786
2016-09-19,-2.6087
2016-09-20,0.0
2016-09-21,0.0
2016-09-22,0.0
2016-09-23,0.1786
2016-09-26,5.1693
2016-09-27,-4.2373
2016-09-28,4.7788
2016-09-29,-0.9122
2016-09-30,5.6937999999999995
2016-10-03,3.2258
2016-10-04,-2.6563
2016-10-05,2.7287
2016-10-06,0.0
2016-10-07,-4.6875
2016-10-10,0.0
2016-10-11,-0.6557
