ticker,MANT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-02-07,13.8125
2002-02-08,8.7315
2002-02-11,0.5051
2002-02-12,-1.9598
2002-02-13,-1.0764
2002-02-14,-2.5907
2002-02-15,-1.0638
2002-02-19,0.5376
2002-02-20,1.3369
2002-02-21,0.2639
2002-02-22,-2.6316
2002-02-25,-0.2703
2002-02-26,-2.3848
2002-02-27,0.2221
2002-02-28,-0.2216
2002-03-01,2.6652
2002-03-04,0.3245
2002-03-05,1.9946000000000002
2002-03-06,0.6871
2002-03-07,-1.5748
2002-03-08,-1.44
2002-03-11,2.8139
2002-03-12,-1.0
2002-03-13,-2.4455
2002-03-14,-1.6349
2002-03-15,0.0
2002-03-18,2.4377
2002-03-19,-0.7572
2002-03-20,1.0899
2002-03-21,3.7736
2002-03-22,-2.1818
2002-03-25,1.1683
2002-03-26,0.21
2002-03-27,-0.2095
2002-03-28,-2.3622
2002-04-01,2.8495
2002-04-02,0.3607
2002-04-03,2.6095
2002-04-04,-0.0508
2002-04-05,1.2392
2002-04-08,2.1772
2002-04-09,3.0538
2002-04-10,4.1448
2002-04-11,3.1565
2002-04-12,7.4945
2002-04-15,-7.632
2002-04-16,-3.573
2002-04-17,-1.0653
2002-04-18,-2.1536
2002-04-19,8.134
2002-04-22,-2.2124
2002-04-23,-1.5836999999999999
2002-04-24,1.1494
2002-04-25,0.4545
2002-04-26,2.0362
2002-04-29,2.2173
2002-04-30,2.7332
2002-05-01,-4.9831
2002-05-02,-1.6444
2002-05-03,-6.0099
2002-05-06,0.0962
2002-05-07,2.5504
2002-05-08,-6.3276
2002-05-09,5.05
2002-05-10,4.4693
2002-05-13,3.2849
2002-05-14,-1.588
2002-05-15,-4.6616
2002-05-16,6.535
2002-05-17,0.3089
2002-05-20,-3.2116
2002-05-21,-0.4545
2002-05-22,-2.2374
2002-05-23,-3.036
2002-05-24,1.6378
2002-05-28,-1.1848
2002-05-29,4.6043
2002-05-30,2.2467
2002-05-31,3.1390000000000002
2002-06-03,-8.4783
2002-06-04,-1.7102
2002-06-05,3.6781
2002-06-06,-0.6107
2002-06-07,3.1895
2002-06-10,1.3636
2002-06-11,-1.435
2002-06-12,1.3649
2002-06-13,2.0646
2002-06-14,0.044
2002-06-17,1.3187
2002-06-18,-1.2147999999999999
2002-06-19,1.7128
2002-06-20,0.3022
2002-06-21,-6.1128
2002-06-24,-0.1834
2002-06-25,-3.9504
2002-06-26,13.2951
2002-06-27,0.8864
2002-06-28,0.3766
