ticker,BKI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-05-20,10.6531
2015-05-21,2.287
2015-05-22,2.2719
2015-05-26,-1.3047
2015-05-27,0.0357
2015-05-28,0.0
2015-05-29,-1.5
2015-06-01,1.5228000000000002
2015-06-02,-0.0357
2015-06-03,2.8224
2015-06-04,-0.139
2015-06-05,-0.4871
2015-06-08,0.5594
2015-06-09,-1.4950999999999999
2015-06-10,-0.6354
2015-06-11,-0.5329
2015-06-12,0.75
2015-06-15,1.8079
2015-06-16,1.4624
2015-06-17,1.407
2015-06-18,1.3197999999999999
2015-06-19,0.5678
2015-06-22,-0.3321
2015-06-23,0.7997
2015-06-24,-1.9174
2015-06-25,1.1459
2015-06-26,2.1659
2015-06-29,-2.1526
2015-06-30,2.9
2015-07-01,-2.6563
2015-07-02,0.1331
2015-07-06,-1.0302
2015-07-07,0.0
2015-07-08,1.1753
2015-07-09,-1.6595
2015-07-10,1.08
2015-07-13,-1.202
2015-07-14,0.4731
2015-07-15,-0.8745
2015-07-16,-0.4411
2015-07-17,-0.5794
2015-07-20,-2.1598
2015-07-21,3.3637
2015-07-22,0.3729
2015-07-23,1.5198
2015-07-24,0.7319
2015-07-27,-1.255
2015-07-28,0.5686
2015-07-29,1.43
2015-07-30,3.9672
2015-07-31,2.7436
2015-08-03,0.798
2015-08-04,1.9792999999999998
2015-08-05,2.2395
2015-08-06,1.3143
2015-08-07,0.0
2015-08-10,1.1819
2015-08-11,0.7123
2015-08-12,-1.669
2015-08-13,-0.2877
2015-08-14,0.0289
2015-08-17,0.5769
2015-08-18,0.3441
2015-08-19,-2.7151
2015-08-20,0.6463
2015-08-21,-1.8681
2015-08-24,-3.6288
2015-08-25,-5.0617
2015-08-26,-1.4304000000000001
2015-08-27,1.6160999999999999
2015-08-28,2.4667
2015-08-31,2.8508
2015-09-01,-0.0308
2015-09-02,3.8509
2015-09-03,0.5043
2015-09-04,-0.4427
2015-09-08,2.9351000000000003
2015-09-09,-0.432
2015-09-10,1.2728
2015-09-11,0.6855
2015-09-14,-0.5957
2015-09-15,0.0285
2015-09-16,-0.1712
2015-09-17,-1.1146
2015-09-18,-3.526
2015-09-21,1.3481
2015-09-22,-1.744
2015-09-23,0.6919
2015-09-24,-1.4939
2015-09-25,-2.1838
2015-09-28,-1.7364000000000002
2015-09-29,0.2209
2015-09-30,2.4874
2015-10-01,-0.5837
2015-10-02,-0.618
2015-10-05,2.9539999999999997
2015-10-06,-1.5403
2015-10-07,0.2761
