ticker,BSPK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-04-29,0.0
2005-09-23,104.0
2006-05-10,0.0
2006-09-13,98.0392
2006-09-28,-30.6931
2007-01-26,-50.0
2007-01-30,214.2857
2007-01-31,0.0
2007-02-05,0.0
2007-02-13,-73.6364
2007-03-26,0.0
2007-05-17,3.4483
2007-06-01,-16.6667
2008-02-04,-20.0
2008-02-06,-5.0
2008-02-13,5.2632
2008-02-14,-15.0
2008-02-19,11.7647
2008-02-22,-21.0526
2008-09-16,-93.2667
2009-09-17,-99.0099
2011-11-17,11000.0
2011-12-20,12.6126
2012-01-18,20.0
2012-01-20,16.6667
2012-01-23,28.5714
2012-01-26,11.1111
2012-02-02,10.0
2012-04-05,18.1818
2012-04-16,23.0769
2012-04-18,-12.5
2012-04-26,14.2857
2012-04-30,-12.5
2012-05-14,0.0
2012-05-17,14.2857
2012-05-25,25.0
2012-05-31,8.0
2012-06-05,0.0
2012-06-06,-3.7037
2012-06-08,-21.5385
2012-06-12,-1.9607999999999999
2012-06-13,1.0
2012-06-14,-17.3267
2012-06-15,7.7844
2012-06-18,14.4444
2012-06-19,2.9126
2012-06-20,6.6038
2012-06-21,5.3097
2012-06-22,2.521
2012-06-25,5.7377
2012-06-26,5.4264
2012-06-27,6.6176
2012-06-28,8.9655
2012-06-29,8.8608
2012-07-02,-7.5581
2012-07-03,10.6918
2012-07-05,9.0909
2012-07-06,-6.25
2012-07-09,-25.5556
2012-07-10,-14.9254
2012-07-11,19.2982
2012-07-12,2.2059
2012-07-13,-20.8633
2012-07-16,-67.2727
2012-07-17,-77.7778
2012-07-18,-50.0
2012-07-19,-30.0
2012-07-20,19.6429
2012-07-23,2.0522
2012-07-24,-17.7331
2012-07-25,-27.1111
2012-07-26,17.0732
2012-07-27,25.0
2012-07-30,23.3333
2012-07-31,24.3243
2012-08-01,6.5217
2012-08-02,17.3469
2012-08-03,34.7826
2012-08-06,54.8387
2012-08-07,-0.8333
2012-08-08,16.8067
2012-08-09,-7.9137
2012-08-10,-32.0313
2012-08-13,-27.0115
2012-08-14,2.3622
2012-08-15,-9.2308
2012-08-16,-31.9915
2012-08-17,-20.2492
2012-08-20,56.25
2012-08-21,18.0
2012-08-22,-16.9492
2012-08-23,-17.9847
2012-08-24,-2.9549
2012-08-27,28.2051
2012-08-28,0.0
2012-08-29,-17.0
2012-08-30,3.6145
2012-08-31,-1.1628
2012-09-04,-5.8824
2012-09-05,10.0
2012-09-06,-6.8182
