ticker,PHCF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-12-27,-0.8333
2018-12-28,-2.521
2018-12-31,3.4241
2019-01-02,0.0233
2019-01-03,-0.1667
2019-01-04,-4.0067
2019-01-07,4.3478
2019-01-08,-0.1667
2019-01-09,-0.6694
2019-01-10,-3.8639
2019-01-11,0.9003
2019-01-14,-1.2302
2019-01-15,-2.6261
2019-01-16,3.5887000000000002
2019-01-17,2.2035
2019-01-18,-3.0068
2019-01-22,-3.3333
2019-01-23,0.5445
2019-01-24,-3.3646
2019-01-25,-3.2427
2019-01-28,1.1583
2019-01-29,-2.6718
2019-01-30,-5.3137
2019-01-31,5.6119
2019-02-01,-1.9607999999999999
2019-02-04,4.6
2019-02-05,0.3308
2019-02-06,-0.5203
2019-02-07,0.0
2019-02-08,0.0
2019-02-11,-11.1111
2019-02-12,1.5086
2019-02-13,3.8217
2019-02-14,-29.6524
2019-02-15,30.814
2019-02-19,-17.5556
2019-02-20,-0.2695
2019-02-21,-2.5676
2019-02-22,0.4383
2019-02-25,9.9205
2019-02-26,4.2714
2019-02-27,-1.2048
2019-02-28,0.0
2019-03-01,-1.4634
2019-03-04,-1.4851
2019-03-05,2.7638
2019-03-06,-1.0073
2019-03-07,-0.7113
2019-03-08,0.0
2019-03-11,-0.7562
2019-03-12,-3.4991
2019-03-13,3.8961
2019-03-14,0.2225
2019-03-15,-0.7209
2019-03-18,-14.3216
2019-03-19,10.8504
2019-03-20,-15.8704
2019-03-21,-6.7325
2019-03-22,5.3608
2019-03-25,0.16
2019-03-26,4.3898
2019-03-27,-0.8386
2019-03-28,-1.2685
2019-03-29,3.1292
2019-04-01,-4.8196
2019-04-02,-3.5032
2019-04-03,2.3102
2019-04-04,-0.0032
2019-04-05,4.7614
2019-04-08,-8.2094
2019-04-09,3.556
2019-04-10,0.3952
2019-04-12,-0.1
2019-04-15,-8.5917
2019-04-16,-1.0601
2019-04-17,0.0
2019-04-18,6.5714
2019-04-22,-3.7031
2019-04-23,0.9222
2019-04-24,-0.8621
2019-04-25,-7.1304
2019-04-26,5.3483
2019-04-29,4.8777
2019-04-30,-6.1017
2019-05-01,-3.2491
2019-05-02,6.6493
2019-05-03,-3.0859
2019-05-06,1.444
2019-05-07,-0.3559
2019-05-08,2.2964
2019-05-09,0.5481
2019-05-10,0.6944
2019-05-13,-1.3759000000000001
2019-05-14,-2.1013
2019-05-15,3.9286
2019-05-16,-2.0619
2019-05-17,1.4035
2019-05-21,3.1142
