ticker,AMK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-07-18,22.9091
2019-07-19,0.7766
2019-07-22,-2.3853
2019-07-23,-2.0677
2019-07-24,0.7678
2019-07-25,1.0667
2019-07-26,5.164
2019-07-29,0.8602
2019-07-30,1.2793
2019-07-31,-0.7368
2019-08-01,0.0353
2019-08-02,0.7067
2019-08-05,-4.9825
2019-08-06,1.8833
2019-08-07,-3.0083
2019-08-08,-0.299
2019-08-09,-1.3118
2019-08-12,-5.8868
2019-08-13,-0.1211
2019-08-14,-5.4545
2019-08-15,-0.3846
2019-08-16,4.5474
2019-08-19,2.9134
2019-08-20,3.6284
2019-08-21,3.6936999999999998
2019-08-22,0.1855
2019-08-23,-1.6667
2019-08-26,1.6949
2019-08-27,-1.3333
2019-08-28,-0.976
2019-08-29,2.9568
2019-08-30,3.8292
2019-09-03,0.6383
2019-09-04,1.4799
2019-09-05,-2.8472
2019-09-06,-3.5025
2019-09-09,-0.9259
2019-09-10,-1.8692
2019-09-11,0.4571
2019-09-12,4.2473
2019-09-13,0.1819
2019-09-16,-1.1983
2019-09-17,-2.9401
2019-09-18,3.7864
2019-09-19,0.5108
2019-09-20,0.9437
2019-09-23,-1.5102
2019-09-24,-2.7016999999999998
2019-09-25,4.878
2019-09-26,-2.9337999999999997
2019-09-27,-4.3863
2019-09-30,0.4241
2019-10-01,-4.8751999999999995
2019-10-02,-1.1299
2019-10-03,-2.7347
2019-10-04,0.8812
2019-10-07,1.1231
2019-10-08,-2.3858
2019-10-09,3.8348
2019-10-10,3.7744
2019-10-11,0.352
2019-10-14,-0.1169
2019-10-15,0.2341
2019-10-16,0.545
2019-10-17,0.9292
2019-10-18,4.1811
2019-10-21,1.4359
2019-10-22,-1.8512
2019-10-23,-0.4068
2019-10-24,-0.5199
2019-10-25,0.6719
2019-10-28,0.3708
2019-10-29,0.1847
2019-10-30,1.8805
2019-10-31,-0.6877
2019-11-01,2.0773
2019-11-04,0.2856
2019-11-05,-3.738
2019-11-06,-5.6953
2019-11-07,-0.4706
2019-11-08,-1.2608
2019-11-11,-0.2793
2019-11-12,-1.4006
2019-11-13,-0.7711
2019-11-14,-1.1861
2019-11-15,-0.1656
2019-11-18,2.9022
2019-11-19,-1.4907
2019-11-20,1.3906
2019-11-21,-1.3312
2019-11-22,-0.4906
2019-11-25,-1.3558
2019-11-26,0.2499
2019-11-27,3.0744
2019-11-29,0.8867
2019-12-02,0.2797
2019-12-03,-0.3187
2019-12-04,1.9184999999999999
