ticker,APPB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-04-13,50.0
2016-05-10,66.6667
2016-05-20,-16.0
2016-07-18,-28.5714
2017-01-30,33.3333
2017-01-31,0.0
2017-02-02,0.0
2017-02-06,0.0
2017-02-07,0.0
2017-02-09,10.0
2017-02-10,0.0
2017-02-13,0.0
2017-02-14,-4.5455
2017-02-15,4.7619
2017-02-17,-4.5455
2017-02-21,14.2857
2017-02-22,8.3333
2017-02-23,5.7692
2017-02-24,3.6364
2017-02-27,-0.3509
2017-02-28,3.3451
2017-03-01,-16.5247
2017-03-02,32.2449
2017-03-03,8.0247
2017-03-06,-7.1429
2017-03-07,-1.5385
2017-03-08,-6.5625
2017-03-09,-3.01
2017-03-10,-3.7931
2017-03-14,-1.2186
2017-03-15,-2.3948
2017-03-16,0.7435
2017-03-17,-0.369
2017-03-20,0.0
2017-03-21,-1.8519
2017-03-22,-1.8868
2017-03-23,0.0
2017-03-24,-5.3846
2017-03-28,-18.6992
2017-03-29,3.5
2017-03-30,0.0
2017-03-31,1.4493
2017-04-03,-1.4285999999999999
2017-04-04,0.0
2017-04-05,8.6957
2017-04-06,-0.4444
2017-04-07,0.4464
2017-04-10,-8.0
2017-04-11,0.0
2017-04-12,11.1111
2017-04-13,0.0
2017-04-17,4.3478
2017-04-18,-2.0833
2017-04-19,2.1277
2017-04-20,0.0
2017-04-21,-6.25
2017-04-24,-1.1111
2017-04-25,1.1236
2017-04-26,-2.2222
2017-04-27,-0.4545
2017-04-28,5.0228
2017-05-01,-4.3478
2017-05-02,4.5455
2017-05-03,-0.4348
2017-05-04,-6.1135
2017-05-05,1.8605
2017-05-09,-8.6758
2017-05-10,8.5
2017-05-11,3.6866
2017-05-12,8.0
2017-05-15,-9.465
2017-05-16,2.2727
2017-05-17,-2.2222
2017-05-18,3.1818
2017-05-19,10.1322
2017-05-22,0.0
2017-05-23,-6.0
2017-05-24,-5.5319
2017-05-25,-0.9009
2017-05-26,-0.9091
2017-05-30,0.0
2017-05-31,-3.6696999999999997
2017-06-01,0.0
2017-06-02,5.2381
2017-06-05,0.0
2017-06-06,13.1222
2017-06-07,0.0
2017-06-08,-0.4
2017-06-09,2.4096
2017-06-12,-9.8039
2017-06-13,0.0
2017-06-14,8.6957
2017-06-15,-6.4
2017-06-16,6.8376
2017-06-19,0.0
2017-06-20,-4.0
2017-06-21,4.1667
2017-06-22,0.0
2017-06-23,-4.0
2017-06-26,-6.25
2017-06-27,-6.6667
2017-06-28,7.1429
