ticker,PBIP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-03-31,-0.7107
2005-04-01,-3.3742
2005-04-04,-0.3175
2005-04-05,-0.7431
2005-04-06,0.0
2005-04-07,-0.2139
2005-04-08,0.2144
2005-04-11,-0.8556
2005-04-12,-1.2945
2005-04-13,-0.4372
2005-04-14,-0.8782
2005-04-15,-1.4396
2005-04-18,0.3371
2005-04-19,0.7839
2005-04-20,-0.2222
2005-04-21,-0.6682
2005-04-22,-2.9148
2005-04-25,-1.2702
2005-04-26,0.5848
2005-04-27,1.0465
2005-04-28,1.2658
2005-04-29,-0.5682
2005-05-02,0.0
2005-05-03,0.0
2005-05-04,1.7143000000000002
2005-05-05,-1.1236
2005-05-06,0.0
2005-05-09,0.3409
2005-05-10,3.2843
2005-05-11,0.0
2005-05-12,5.2632
2005-05-13,-1.0417
2005-05-16,2.0
2005-05-17,-1.3416000000000001
2005-05-18,-0.0105
2005-05-19,0.952
2005-05-20,-0.5181
2005-05-23,1.0417
2005-05-24,0.6186
2005-05-25,-0.1025
2005-05-26,0.5128
2005-05-27,0.0
2005-05-31,0.0
2005-06-01,0.0
2005-06-02,0.6122
2005-06-03,0.4057
2005-06-06,0.0
2005-06-07,0.0
2005-06-08,1.2121
2005-06-09,2.495
2005-06-10,1.7527
2005-06-13,1.4354
2005-06-14,1.6981000000000002
2005-06-15,0.9276
2005-06-16,-2.114
2005-06-17,-5.1643
2005-06-20,8.9109
2005-06-21,-0.9091
2005-06-22,0.0
2005-06-23,-2.7523
2005-06-24,2.0755
2005-06-27,-1.5712000000000002
2005-06-28,1.4085
2005-06-29,0.3704
2005-06-30,0.2768
2005-07-01,0.0
2005-07-05,-0.2392
2005-07-06,-1.0421
2005-07-07,2.4136
2005-07-08,0.0364
2005-07-11,0.1455
2005-07-12,1.1807
2005-07-13,1.3465
2005-07-14,-0.4444
2005-07-15,0.356
2005-07-18,-0.2658
2005-07-19,0.3568
2005-07-20,0.9778
2005-07-21,2.0246
2005-07-25,-1.8119
2005-07-27,2.4605
2005-07-28,0.2573
2005-07-29,0.0855
2005-08-01,-0.3419
2005-08-02,2.4871
2005-08-03,0.4184
2005-08-04,0.1667
2005-08-05,-1.7471
2005-08-08,0.7621
2005-08-09,0.2521
2005-08-10,0.0
2005-08-11,0.0838
2005-08-12,1.0888
2005-08-15,-0.6628
2005-08-16,0.0834
2005-08-19,-0.0833
2005-08-22,0.0834
2005-08-23,-0.75
2005-08-24,-0.084
2005-08-25,0.8403
