ticker,RZZN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-02-06,212.5
2019-02-07,72.0
2019-02-08,-30.2326
2019-02-11,-3.3333
2019-02-12,-27.5862
2019-02-15,0.0
2019-02-21,-4.7619
2019-02-25,0.0
2019-03-01,0.0
2019-03-04,-5.0
2019-03-08,-21.0526
2019-03-26,-1.0
2019-04-02,68.3502
2019-04-12,-48.0
2019-04-15,-20.0
2019-04-16,-0.9615
2019-04-18,-32.0194
2019-05-08,128.5061
2019-05-16,-23.75
2019-05-20,-34.4262
2019-06-11,20.75
2019-06-13,-31.677
2019-07-12,100.0
2019-07-17,-9.0909
2019-07-18,-15.0
2019-08-08,7.8431
2019-08-19,12.7273
2019-08-21,4.8387
2019-08-22,30.7692
2019-08-27,-23.5294
2019-08-28,38.4615
2019-08-29,-11.1111
2019-09-10,-22.5
2019-09-11,-3.2258
2019-10-04,3.3333
2019-10-09,12.9032
2019-10-30,-25.1571
2019-11-19,-18.6868
2020-01-10,64.3192
2020-02-04,-7.1429
2020-03-19,-41.5385
2020-07-14,0.0
