ticker,TLND US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-07-29,41.6667
2016-08-01,2.0392
2016-08-02,-0.6533
2016-08-03,-1.2766
2016-08-04,1.0188
2016-08-05,-0.6206
2016-08-08,-1.9516
2016-08-09,1.1146
2016-08-10,-2.0866
2016-08-11,0.3619
2016-08-12,0.601
2016-08-15,23.8949
2016-08-16,-0.8357
2016-08-17,-5.0243
2016-08-18,-9.9317
2016-08-19,4.4335
2016-08-22,8.1277
2016-08-23,0.302
2016-08-24,-4.3158
2016-08-25,5.5245
2016-08-26,-3.9760999999999997
2016-08-29,-4.5549
2016-08-30,-6.1461
2016-08-31,-1.3867
2016-09-01,-1.2891
2016-09-02,-0.7519
2016-09-06,0.8373
2016-09-07,2.3329
2016-09-08,2.8207
2016-09-09,-1.428
2016-09-12,0.8387
2016-09-13,2.0794
2016-09-14,1.1481
2016-09-15,3.0026
2016-09-16,-5.1902
2016-09-19,-4.7619
2016-09-20,-1.1811
2016-09-21,0.9562
2016-09-22,-1.1839
2016-09-23,0.0
2016-09-26,5.8307
2016-09-27,-0.5283
2016-09-28,-3.2246
2016-09-29,-1.568
2016-09-30,4.1816
2016-10-03,-1.8349
2016-10-04,-0.7009
2016-10-05,-1.3725
2016-10-06,-2.5845000000000002
2016-10-07,-8.3673
2016-10-10,4.2762
2016-10-11,-3.3319
2016-10-12,-1.8117999999999999
2016-10-13,9.3159
2016-10-14,2.7583
2016-10-17,-2.6042
2016-10-18,-0.2057
2016-10-19,-1.0305
2016-10-20,-2.2491
2016-10-21,0.8522
2016-10-24,0.7605
2016-10-25,-3.4382
2016-10-26,-2.475
2016-10-27,-3.3838
2016-10-28,2.3041
2016-10-31,-2.3874
2016-11-01,0.4615
2016-11-02,2.4805
2016-11-03,-2.5101
2016-11-04,3.4943
2016-11-07,1.5104
2016-11-08,0.6565
2016-11-09,-2.1739
2016-11-10,4.4444
2016-11-11,6.1277
2016-11-14,0.3208
2016-11-15,4.5564
2016-11-16,-1.1463
2016-11-17,0.5409
2016-11-18,-1.2308
2016-11-21,-3.31
2016-11-22,-0.4833
2016-11-23,-1.4163999999999999
2016-11-25,-2.1346
2016-11-28,-0.9228
2016-11-29,0.127
2016-11-30,-2.3679
2016-12-01,-6.8861
2016-12-02,0.186
2016-12-05,0.1857
2016-12-06,-0.0463
2016-12-07,0.9272
2016-12-08,0.0919
2016-12-09,-2.134
2016-12-12,0.5862
2016-12-13,2.5641
2016-12-14,1.0909
2016-12-15,9.2626
