ticker,CAT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,3.3201
2000-01-04,-1.2852999999999999
2000-01-05,2.3438
2000-01-06,5.0891
2000-01-07,3.2688
2000-01-10,-3.2824999999999998
2000-01-11,-1.5758
2000-01-12,1.7241
2000-01-13,1.0896
2000-01-14,-0.479
2000-01-18,-3.225
2000-01-19,-1.2516
2000-01-20,-4.436
2000-01-21,0.5305
2000-01-24,-4.3536
2000-01-25,-3.7241
2000-01-26,3.0086
2000-01-27,-0.8345
2000-01-28,-2.3843
2000-01-31,-2.4425
2000-02-01,1.7673
2000-02-02,0.5789
2000-02-03,-2.5899
2000-02-04,0.0
2000-02-07,-2.5111
2000-02-08,-0.6061
2000-02-09,-4.5732
2000-02-10,-2.7157
2000-02-11,-5.4187
2000-02-14,7.2917
2000-02-15,3.5599
2000-02-16,-2.0312
2000-02-17,-1.2759
2000-02-18,-2.5848
2000-02-22,1.6583999999999999
2000-02-23,-1.3051
2000-02-24,-4.1322
2000-02-25,-0.6897
2000-02-28,-1.2153
2000-02-29,-1.4060000000000001
2000-03-01,-0.5348
2000-03-02,-1.2545
2000-03-03,5.6261
2000-03-06,0.8591
2000-03-07,-7.8365
2000-03-08,3.3272
2000-03-09,0.8945
2000-03-10,1.2411
2000-03-13,-0.1751
2000-03-14,0.5263
2000-03-15,6.8063
2000-03-16,6.3725
2000-03-17,-2.6114
2000-03-20,-2.8391
2000-03-21,3.4091
2000-03-22,-2.1978
2000-03-23,1.6051
2000-03-24,-0.158
2000-03-27,-1.1076
2000-03-28,-1.92
2000-03-29,1.7945
2000-03-30,4.4872
2000-03-31,-3.2209
2000-04-03,6.1807
2000-04-04,3.7313
2000-04-05,-2.3022
2000-04-06,-0.2946
2000-04-07,-2.2157
2000-04-10,0.1511
2000-04-11,1.5083
2000-04-12,3.2689
2000-04-13,-3.3094
2000-04-14,-3.5714
2000-04-17,1.0802
2000-04-18,-1.6794
2000-04-19,-5.7143
2000-04-20,0.9967
2000-04-24,2.6316
2000-04-25,2.8846
2000-04-26,-0.9346
2000-04-27,0.9434
2000-04-28,-1.7134
2000-05-01,-1.5848
2000-05-02,2.0934
2000-05-03,-1.8927
2000-05-04,-2.4116
2000-05-05,2.9654
2000-05-08,-0.32
2000-05-09,-2.4077
2000-05-10,0.9868
2000-05-11,1.1401
2000-05-12,1.4493
2000-05-15,3.0159
2000-05-16,-0.7704
2000-05-17,-0.6211
2000-05-18,-2.9688
2000-05-19,3.2206
2000-05-22,0.312
