ticker,GCAN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-09-19,166.4929
2018-09-20,-16.9101
2018-09-21,-3.2258
2018-09-24,-33.3333
2018-09-25,-20.5
2018-09-26,-4.4025
2018-09-27,-7.8947
2018-09-28,-4.2143
2018-10-01,-17.1514
2018-10-02,-27.9928
2018-10-03,231.25
2018-10-04,-20.7547
2018-10-05,-19.0476
2018-10-08,-11.7059
2018-10-09,46.569
2018-10-10,-6.8636
2018-10-11,-17.0327
2018-10-12,5.8824
2018-10-15,-10.5
2018-10-16,-6.8901
2018-10-17,-10.0
2018-10-18,18.2963
2018-10-19,-6.5122
2018-10-22,-8.8681
2018-10-23,-16.1399
2018-10-24,-3.5933
2018-10-25,12.0909
2018-10-26,-10.7867
2018-10-29,-0.9091
2018-10-30,-16.2385
2018-10-31,18.2913
2018-11-01,20.3704
2018-11-02,111.4615
2018-11-05,-27.2463
2018-11-06,38.5
2018-11-07,-4.9458
2018-11-08,-0.3836
2018-11-09,-15.5515
2018-11-12,-9.7517
2018-11-13,-13.8069
2018-11-14,-12.9425
2018-11-15,6.6667
2018-11-16,0.0
2018-11-19,0.6875
2018-11-20,3.6623
2018-11-21,-5.3892
2018-11-23,-2.2721999999999998
2018-11-26,-5.5372
2018-11-27,-0.5896
2018-11-28,-10.3448
2018-11-29,14.538499999999999
2018-11-30,-9.268
2018-12-03,-11.1769
2018-12-04,8.3333
2018-12-06,0.0
2018-12-07,-7.6923
2018-12-10,8.1667
2018-12-11,-10.3236
2018-12-12,11.6838
2018-12-13,0.9615
2018-12-14,16.0762
2018-12-17,3.3804
2018-12-18,1.5873
2018-12-19,-14.6875
2018-12-20,13.5531
2018-12-21,9.6774
2018-12-24,1.7118
2018-12-26,-7.4663
2018-12-27,-3.125
2018-12-28,-12.2581
2018-12-31,21.6912
2019-01-02,-3.3233
2019-01-03,-12.5
2019-01-04,-7.1429
2019-01-07,33.0769
2019-01-08,-9.7688
2019-01-09,34.5291
2019-01-10,-14.2857
2019-01-11,-2.5
2019-01-14,1.4245
2019-01-15,-10.1124
2019-01-16,4.6562
2019-01-17,-1.2093
2019-01-18,2.7052
2019-01-22,-4.6498
2019-01-23,-1.2654
2019-01-24,3.1572
2019-01-25,5.497
2019-01-28,-4.0903
2019-01-29,7.8167
2019-01-30,0.0
2019-01-31,-7.9444
2019-02-01,-2.1726
2019-02-04,7.1468
2019-02-05,-5.0004
2019-02-06,-3.0303
2019-02-07,0.2594
2019-02-08,-3.3756
