ticker,TONR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-01-25,0.0
2013-01-28,-40.0
2013-01-29,0.0
2013-01-30,0.0
2013-01-31,33.3333
2013-02-01,0.0
2013-02-04,0.0
2013-02-05,0.0
2013-02-11,-95.0
2013-02-12,1850.0
2013-02-13,0.0
2013-02-19,0.0
2013-02-20,-7.6923
2013-02-25,-68.8889
2013-02-27,78.5714
2013-02-28,0.0
2013-03-07,-50.0
2013-03-13,-18.0
2013-03-15,95.122
2013-03-19,-25.0
2013-03-20,0.0
2013-03-21,-33.3333
2013-03-22,25.0
2013-03-25,0.0
2013-03-26,-20.0
2013-03-27,-25.0
2013-04-02,3.3333
2013-04-04,61.2903
2013-04-09,-38.0
2013-04-12,0.0
2013-04-26,0.0
2013-05-03,0.0
2013-05-06,0.0
2013-05-07,0.0
2013-05-08,12.9032
2013-05-09,-11.4286
2013-05-10,12.9032
2013-05-13,8.5714
2013-05-14,5.2632
2013-05-15,-10.0
2013-05-16,2.7778
2013-05-17,2.7027
2013-05-20,-15.7895
2013-05-21,12.5
2013-05-22,-2.7778
2013-05-24,-14.2857
2013-05-29,3.3333
2013-05-30,-35.4839
2013-05-31,10.0
2013-06-03,0.0
2013-06-04,-14.2045
2013-06-05,0.0
2013-06-10,-47.6821
2013-06-13,-42.4051
2013-06-14,-12.0879
2013-06-17,17.5
2013-06-18,10.6383
2013-06-19,20.1923
2013-06-20,0.0
2013-06-21,-12.8
2013-06-24,7.3394
2013-06-25,-6.8376
2013-06-26,-26.6055
2013-06-27,27.5
2013-06-28,-21.5686
2013-07-01,-12.5
2013-07-02,-8.5714
2013-07-05,9.375
2013-07-08,0.0
2013-07-09,-8.5714
2013-07-10,0.0
2013-07-11,9.375
2013-07-15,10.0
2013-07-16,-3.8961
2013-07-17,-13.5135
2013-07-18,0.0
2013-07-19,112.5
2013-07-22,76.4706
2013-07-23,6.6667
2013-07-24,6.25
2013-07-25,0.0
2013-07-26,0.0
2013-07-29,-47.7941
2013-07-30,-32.3944
2013-07-31,-19.7917
2013-08-01,-16.8831
2013-08-02,-12.5
2013-08-05,-5.3571
2013-08-06,-9.434
2013-08-07,6.25
2013-08-08,-9.8039
2013-08-09,34.7826
2013-08-12,11.2903
2013-08-13,-4.3478
2013-08-14,-22.7273
2013-08-15,-9.8039
2013-08-16,0.0
2013-08-19,-13.0435
2013-08-20,-5.0
2013-08-21,-21.0526
2013-08-22,6.6667
2013-08-23,6.25
2013-08-26,0.0
2013-08-27,8.8235
