ticker,SONN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-10-19,-20.0
2005-10-20,0.0
2005-10-21,-16.6667
2005-10-26,45.0
2005-10-28,-13.7931
2005-12-21,4.0
2006-01-03,-3.8462
2006-01-23,-20.0
2006-02-27,0.0
2006-03-02,-10.0
2006-03-24,0.0
2006-03-31,38.8889
2006-05-31,0.0
2006-06-16,0.0
2006-06-30,0.0
2006-07-26,0.0
2006-07-31,-4.0
2006-08-10,0.0
2006-09-08,-25.0
2006-10-09,-16.6667
2006-10-31,66.6667
2006-11-14,-60.0
2006-12-01,150.0
2006-12-06,-44.0
2006-12-12,57.1429
2007-01-08,0.0
2007-01-31,0.0
2007-03-01,-9.0909
2007-03-07,0.0
2007-03-12,0.0
2007-03-13,0.0
2007-05-11,0.0
2007-06-06,-20.0
2007-09-21,12.5
2007-09-24,0.0
2007-09-26,10.0
2007-10-02,-24.2424
2007-10-05,-6.6667
2007-11-26,0.0
2007-11-30,-27.1429
2007-12-03,37.2549
2007-12-31,-25.7143
2008-01-02,-3.8462
2008-01-03,0.0
2008-01-04,50.0
2008-01-18,-8.0
2008-01-23,-20.2899
2008-01-31,18.1818
2008-02-01,-7.6923
2008-02-04,25.0
2008-02-05,-13.3333
2008-02-08,0.0
2008-02-11,0.0
2008-02-14,-7.6923
2008-02-15,8.3333
2008-02-26,-16.9231
2008-02-29,1.8519
2008-03-11,45.4545
2008-03-12,-6.25
2008-03-13,-26.6667
2008-03-14,0.0
2008-03-17,0.0
2008-03-18,1.8182
2008-03-19,25.0
2008-03-20,0.0
2008-03-24,0.0
2008-03-25,-7.1429
2008-03-26,7.6923
2008-03-28,-17.1429
2008-03-31,12.069
2008-04-04,-13.8462
2008-04-07,-8.9286
2008-04-10,37.2549
2008-04-21,-2.8571
2008-04-22,1.4706000000000001
2008-04-24,1.4493
2008-04-28,-17.1429
2008-04-29,18.9655
2008-05-07,-20.2899
2008-05-08,27.2727
2008-05-14,0.0
2008-05-19,-1.4285999999999999
2008-05-29,1.4493
2008-05-30,0.0
2008-06-02,0.0
2008-06-03,0.0
2008-06-19,0.0
2008-06-20,-14.2857
2008-06-24,16.6667
2008-06-25,0.0
2008-06-27,-7.1429
2008-06-30,7.6923
2008-07-02,-7.1429
2008-07-08,7.6923
2008-07-09,0.0
2008-07-10,0.0
2008-07-11,0.0
2008-07-14,0.0
2008-07-15,0.0
2008-07-16,0.0
2008-07-18,0.0
2008-07-22,-3.5714
2008-07-23,2.0741
2008-07-24,1.5965
