ticker,RETC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-06-28,-11.0092
2017-06-29,10.3093
2017-06-30,4.6729
2017-07-03,-8.9286
2017-07-05,4.902
2017-07-06,15.8879
2017-07-07,8.871
2017-07-10,5.1852
2017-07-11,9.1549
2017-07-12,4.5161
2017-07-13,-7.4074
2017-07-14,20.6667
2017-07-17,4.4199
2017-07-18,4.2328
2017-07-19,2.5381
2017-07-20,3.4653
2017-07-21,9.0909
2017-07-24,4.386
2017-07-25,4.6218
2017-07-26,1.2048
2017-07-27,-20.2381
2017-07-28,-4.9751
2017-07-31,-72.7749
2017-08-01,-86.1538
2017-08-02,-15.2778
2017-08-03,-24.5902
2017-08-04,45.6522
2017-08-07,-25.3731
2017-08-08,-16.8
2017-08-09,-8.6538
2017-08-10,10.526299999999999
2017-08-11,4.7619
2017-08-14,-11.3636
2017-08-15,-23.0769
2017-08-16,13.3333
2017-08-17,-18.5294
2017-08-18,8.3032
2017-08-21,0.3333
2017-08-22,76.0797
2017-08-23,-16.9811
2017-08-24,-15.9091
2017-08-25,8.1081
2017-08-28,12.25
2017-08-29,5.6347000000000005
2017-08-30,7.7377
2017-08-31,43.8356
2017-09-01,-4.7619
2017-09-05,-21.4286
2017-09-06,29.0909
2017-09-07,-8.6761
2017-09-08,4.8735
2017-09-11,1.4706000000000001
2017-09-12,3.6231999999999998
2017-09-13,4.8951
2017-09-14,-4.0
2017-09-15,50.4861
2017-09-18,93.8163
2017-09-19,-33.3333
2017-09-20,20.0
2017-09-21,-2.3810000000000002
2017-09-22,0.6098
2017-09-25,-3.2727
2017-09-26,-5.708
2017-09-27,-20.925
2017-09-28,-25.2101
2017-09-29,-2.2472
2017-10-02,37.931
2017-10-03,2.5
2017-10-04,-16.9919
2017-10-05,21.8903
2017-10-06,-19.6464
2017-10-09,-5.4
2017-10-10,22.093
2017-10-11,-12.5541
2017-10-12,12.8713
2017-10-13,2.5439
2017-10-16,45.4234
2017-10-17,-2.9412000000000003
2017-10-18,-1.2121
2017-10-19,-12.2699
2017-10-20,-5.2378
2017-10-23,7.0032
2017-10-24,-0.6897
2017-10-25,-6.25
2017-10-26,-1.4815
2017-10-27,-2.2556
2017-10-30,28.1538
2017-10-31,0.12
2017-11-01,1.259
2017-11-02,0.3552
2017-11-03,17.9941
2017-11-06,32.55
2017-11-07,-22.633
2017-11-08,11.6529
2017-11-09,-1.9651
2017-11-10,-1.4855
2017-11-13,12.5811
2017-11-14,12.4543
2017-11-15,-4.2857
