ticker,CPA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-12-15,21.25
2005-12-16,0.6186
2005-12-19,1.2295
2005-12-20,-5.8704
2005-12-21,1.5053999999999998
2005-12-22,6.3136
2005-12-23,3.2682
2005-12-27,-0.0386
2005-12-28,-0.3861
2005-12-29,4.6124
2005-12-30,1.1486
2006-01-03,-4.8718
2006-01-04,4.3512
2006-01-05,-2.214
2006-01-06,-4.9811
2006-01-09,-2.3034
2006-01-10,-1.8293
2006-01-11,-0.5797
2006-01-12,-2.3324
2006-01-13,4.307
2006-01-17,-3.4751
2006-01-18,-3.219
2006-01-19,4.3326
2006-01-20,-2.1812
2006-01-23,-0.3002
2006-01-24,-3.6989
2006-01-25,-0.8486
2006-01-26,1.3514
2006-01-27,6.4
2006-01-30,0.919
2006-01-31,-0.6623
2006-02-01,-1.0417
2006-02-02,-5.0526
2006-02-03,-2.3947
2006-02-06,1.9990999999999999
2006-02-07,-3.608
2006-02-08,-3.2348
2006-02-09,3.1519
2006-02-10,-1.6204
2006-02-13,-1.4118
2006-02-14,-0.2387
2006-02-15,0.4785
2006-02-16,0.7143
2006-02-17,3.2151
2006-02-21,0.8704
2006-02-22,6.1762
2006-02-23,0.941
2006-02-24,-0.8051
2006-02-27,1.1106
2006-02-28,-2.6193
2006-03-01,-0.2169
2006-03-02,-2.8261
2006-03-03,-0.2237
2006-03-06,0.0
2006-03-07,0.0
2006-03-08,-0.4484
2006-03-09,-2.3423
2006-03-10,2.1679
2006-03-13,0.0
2006-03-14,0.0
2006-03-15,-1.5800999999999998
2006-03-16,0.0
2006-03-17,0.9174
2006-03-20,2.8636
2006-03-21,2.5188
2006-03-22,-2.5431
2006-03-23,-1.3711
2006-03-24,-0.6726
2006-03-27,-1.5800999999999998
2006-03-28,-3.211
2006-03-29,1.9905
2006-03-30,4.3216
2006-03-31,1.7816999999999998
2006-04-03,1.2254
2006-04-04,-0.562
2006-04-05,-0.8261
2006-04-06,-0.0438
2006-04-07,-0.6579
2006-04-10,-1.3245
2006-04-11,-0.0895
2006-04-12,-5.0605
2006-04-13,3.066
2006-04-17,1.1442
2006-04-18,0.0905
2006-04-19,0.7233
2006-04-20,-1.2567
2006-04-21,0.7273
2006-04-24,0.1805
2006-04-25,0.3604
2006-04-26,2.2442
2006-04-27,-1.8876
2006-04-28,0.0
2006-05-01,-0.0895
2006-05-02,-0.1343
2006-05-03,0.0
2006-05-04,-0.2242
2006-05-05,-0.2247
2006-05-08,0.3604
