ticker,TAOP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-09-14,566.6667
2006-09-18,-70.0
2006-09-20,33.3333
2006-09-22,-25.0
2006-09-27,33.3333
2006-10-06,122.2223
2006-10-13,-49.5
2006-10-16,-40.5941
2006-10-17,16.6667
2006-10-18,0.0
2006-10-20,-17.1429
2006-10-23,-3.4483
2006-10-30,80.3571
2006-11-02,241.5842
2006-11-03,1.4493
2006-11-06,-2.8571
2006-11-09,-8.8235
2006-11-10,-1.6129
2006-11-13,8.1967
2006-11-14,51.5152
2006-11-15,0.0
2006-11-16,10.0
2006-11-17,-3.6364
2006-11-20,2.8302
2006-11-21,-8.2569
2006-11-22,8.0
2006-12-04,-4.6296
2006-12-13,0.0
2006-12-20,-0.9709
2006-12-22,7.8431
2007-01-17,0.0
2007-01-19,10.9091
2007-01-22,-1.6393
2007-01-23,-8.3333
2007-01-25,18.1818
2007-01-29,9.2308
2007-02-01,-15.493
2007-02-02,-8.3333
2007-02-05,-4.5455
2007-02-07,-19.0476
2007-02-08,41.1765
2007-02-09,-20.0
2007-02-12,28.9583
2007-02-13,-4.6850000000000005
2007-02-14,5.0847
2007-02-15,0.0
2007-02-16,29.0323
2007-02-20,15.625
2007-02-21,-2.7027
2007-02-22,-11.1111
2007-02-27,-6.25
2007-03-01,6.6667
2007-03-09,9.375
2007-03-12,-4.5714
2007-03-14,-1.1976
2007-03-15,-3.0303
2007-03-19,0.0
2007-03-20,-0.625
2007-03-21,3.7736
2007-03-22,-8.4848
2007-03-23,3.9735
2007-03-26,21.0191
2007-03-27,-10.526299999999999
2007-03-28,-5.8824
2007-03-29,0.0
2007-03-30,0.0
2007-04-02,-6.25
2007-04-03,0.6667
2007-04-09,5.8278
2007-04-11,-6.1327
2007-04-17,-8.6667
2007-04-20,-4.5255
2007-04-23,0.9174
2007-04-25,-9.0909
2007-04-26,0.0
2007-04-30,0.0
2007-05-02,-15.8333
2007-05-03,-0.9901
2007-05-04,-5.0
2007-05-08,-10.526299999999999
2007-05-09,-1.1764999999999999
2007-05-10,19.0476
2007-05-15,-10.0
2007-05-16,0.0
2007-05-17,19.5556
2007-05-18,-5.5762
2007-05-21,7.874
2007-05-22,-3.2847
2007-05-23,-10.3774
2007-05-24,-4.2105
2007-05-25,-4.3956
2007-05-29,14.9425
2007-05-30,-12.0
2007-05-31,2.2727
2007-06-01,-0.4444
2007-06-04,0.4464
2007-06-05,0.6667
2007-06-06,-2.8698
2007-06-07,3.4091
2007-06-08,1.0989
