ticker,TPTX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-04-17,60.5556
2019-04-18,-7.7163
2019-04-22,1.4623
2019-04-23,4.6563
2019-04-24,-0.2825
2019-04-25,4.0014
2019-04-26,6.5032
2019-04-29,5.6905
2019-04-30,5.2632
2019-05-01,-3.7931
2019-05-02,0.6571
2019-05-03,-3.4421
2019-05-06,3.8106999999999998
2019-05-07,0.6513
2019-05-08,-0.6471
2019-05-09,-0.8881
2019-05-10,-4.0621
2019-05-13,-7.9701
2019-05-14,2.3681
2019-05-15,2.7759
2019-05-16,4.4373000000000005
2019-05-17,5.5111
2019-05-20,6.478
2019-05-21,3.2886
2019-05-22,2.6002
2019-05-23,4.422
2019-05-24,1.4611
2019-05-28,-1.0984
2019-05-29,-1.1106
2019-05-30,-3.1695
2019-05-31,-10.2577
2019-06-03,3.2453
2019-06-04,0.1391
2019-06-05,0.2778
2019-06-06,-6.6759
2019-06-07,2.3746
2019-06-10,6.1757
2019-06-11,-3.3042
2019-06-12,3.3889
2019-06-13,7.0473
2019-06-14,1.8117
2019-06-17,6.8421
2019-06-18,2.3458
2019-06-19,-4.7215
2019-06-20,-1.732
2019-06-21,4.0147
2019-06-24,-0.306
2019-06-25,0.0944
2019-06-26,-7.8302
2019-06-27,-0.4094
2019-06-28,4.5735
2019-07-01,5.3317
2019-07-02,1.7027999999999999
2019-07-03,0.1376
2019-07-05,-2.4966
2019-07-08,-0.6108
2019-07-09,1.229
2019-07-10,1.8445
2019-07-11,0.2751
2019-07-12,-3.1093
2019-07-15,-0.991
2019-07-16,-0.715
2019-07-17,0.3841
2019-07-18,-1.1478
2019-07-19,-0.7741
2019-07-22,-3.7055
2019-07-23,-0.8101
2019-07-24,2.0674
2019-07-25,-2.5256
2019-07-26,1.3084
2019-07-29,0.8103
2019-07-30,1.3062
2019-07-31,-1.215
2019-08-01,3.4638999999999998
2019-08-02,-2.0136
2019-08-05,-4.1347
2019-08-06,-3.4091
2019-08-07,5.2273
2019-08-08,2.7824
2019-08-09,6.576
2019-08-12,-2.6212
2019-08-13,3.0014
2019-08-14,3.839
2019-08-15,-5.5457
2019-08-16,0.0236
2019-08-19,10.8204
2019-08-20,-2.3186999999999998
2019-08-21,13.8502
2019-08-22,-0.9181
2019-08-23,0.7529
2019-08-26,3.5256
2019-08-27,0.8699
2019-08-28,5.633
2019-08-29,0.33
2019-08-30,-5.5921
2019-09-03,-6.4552
2019-09-04,-5.5087
2019-09-05,-2.5726
2019-09-06,-8.9651
