ticker,LFLS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-04-14,-40.0
2008-04-18,233.3333
2008-04-21,58.0
2008-04-22,26.5823
2008-04-23,0.0
2008-04-25,0.0
2008-04-29,-46.0
2008-04-30,0.0
2008-05-06,85.1852
2008-05-13,-25.0
2008-05-23,34.6667
2008-06-02,-25.7426
2008-06-16,-20.0
2008-07-01,0.0
2008-07-09,16.6667
2008-07-10,21.4286
2008-07-16,-23.5294
2008-07-22,84.6154
2008-07-23,-12.5
2008-07-24,9.5238
2008-08-04,-8.6957
2008-08-18,-19.0476
2008-08-27,-40.0
2008-10-06,-41.1765
2009-01-20,-50.0
2009-02-12,-33.3333
2009-02-24,10.0
2009-04-17,536.3636
2009-04-21,-64.2857
2009-04-22,104.0
2009-04-23,0.0
2009-04-24,37.2549
2009-04-27,0.0
2009-04-29,0.0
2009-05-05,-27.1429
2009-05-19,-76.4706
2009-06-04,150.0
2009-06-11,266.6667
2009-07-31,-95.4545
2009-08-31,80.0
2009-09-01,55.5556
2009-09-08,-42.8571
2009-09-15,-75.0
2009-09-16,400.0
2009-09-22,0.0
2009-09-29,-77.0
2009-10-05,239.1304
2009-10-09,-10.2564
2009-10-20,-28.5714
2009-10-21,88.0
2009-10-22,-14.8936
2009-10-26,12.5
2009-10-27,0.0
2009-11-11,66.6667
2009-11-13,33.3333
2009-11-24,25.0
2009-11-25,0.0
2009-11-30,0.0
2009-12-02,-60.0
2009-12-08,40.0
2009-12-14,-64.2857
2009-12-16,80.0
2009-12-17,233.3333
2009-12-21,-43.3333
2009-12-23,-29.4118
2009-12-30,29.1667
2009-12-31,0.0
2010-01-04,-9.6774
2010-01-05,-14.2857
2010-01-06,-16.6667
2010-01-07,-50.0
2010-01-08,180.0
2010-01-11,-28.5714
2010-01-12,0.0
2010-01-13,-20.0
2010-01-14,25.0
2010-01-15,-20.0
2010-01-19,0.0
2010-01-20,25.0
2010-01-21,-20.0
2010-01-22,0.0
2010-01-27,25.0
2010-01-28,0.0
2010-02-01,0.0
2010-02-02,0.0
2010-02-08,-50.0
2010-02-09,0.0
2010-02-10,40.0
2010-02-12,42.8571
2010-03-09,-40.0
2010-03-10,66.6667
2010-03-11,-10.0
2010-04-01,11.1111
2010-04-06,0.0
2010-04-21,0.0
2010-04-29,0.0
2010-04-30,40.0
2010-05-03,7.1429
2010-05-05,-33.3333
2010-05-07,0.0
2010-05-12,120.0
2010-06-08,-54.5455
2010-06-28,0.0
2010-06-30,0.0
2010-07-08,100.0
