ticker,LINS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-03-01,-6.8452
2000-03-14,7.6677
2000-03-15,4.451
2000-03-21,0.0
2000-03-31,-10.2273
2000-04-04,0.0
2000-05-03,0.5122
2000-06-19,-0.3185
2000-07-07,-9.5847
2000-07-25,-0.3534
2000-08-01,0.0
2000-08-03,-2.8369
2000-08-10,4.3796
2000-09-05,-4.1084
2000-10-17,-0.8204
2000-10-24,0.0882
2000-11-29,-0.0882
2000-12-01,10.2941
2001-02-01,-8.0
2001-02-13,10.1449
2001-03-08,-5.2632
2001-04-11,-2.7778
2001-04-16,8.5714
2001-05-23,-7.2848
2001-05-24,-84.2857
2001-08-28,581.8182
2001-11-19,1.3333
2002-01-09,-9.8684
2002-01-14,2.9196999999999997
2002-03-15,-2.5532
2002-08-05,4.2584
2003-01-07,3.0986
2003-01-13,-1.2295
2003-04-01,2.3513
2003-05-23,2.3192
2003-10-09,4.0
2003-11-14,-6.359
2003-11-17,0.0821
2003-11-25,8.0711
2003-12-31,-5.0633
2004-04-13,-1.0133
2004-04-15,13.0927
2004-04-22,-8.5279
2004-04-30,10.526299999999999
2005-04-04,-21.4286
2005-04-18,1.1364
2005-09-07,13.0634
2005-11-22,8.1081
2006-05-03,4.8285
2006-05-08,15.1515
2006-07-26,2.6316
2006-08-01,0.759
2006-08-09,16.0423
2006-08-31,-12.2807
2006-09-06,0.0
2006-09-21,12.0
2006-09-27,3.5714
2006-10-30,6.8966
2007-04-25,0.3418
2007-05-30,-8.5366
2007-05-31,6.6667
2007-09-17,-0.8333
2007-10-04,0.0
2007-10-05,4.2017
2007-11-08,-3.2258
2007-11-15,1.6667
2007-12-04,-1.2951
2008-05-08,6.9744
2008-05-13,5.5118
2008-05-16,-2.9851
2008-07-24,0.0
2008-07-28,4.6154
2008-07-31,-1.4706000000000001
2008-12-23,4.4776
2009-01-20,-4.2857
2009-01-21,1.4925
2009-02-17,-13.2353
2009-08-13,-12.3485
2009-10-01,0.0
2009-10-06,0.0
2010-01-06,0.0
2010-05-14,11.7647
2010-08-03,8.9286
2010-09-17,4.918
2011-05-10,-1.5091
2011-05-11,6.4516
2011-05-12,-1.1364
2011-05-16,-1.9157
2011-05-17,10.9375
2011-06-27,-1.4085
2011-06-28,0.0
2012-08-02,8.7745
2013-12-09,0.0676
2013-12-11,0.0
2014-03-12,2.7027
2014-07-30,26.7512
2014-10-07,5.2632
2015-02-05,0.0
2015-02-06,0.0
2015-04-09,20.0
2015-07-14,-15.0743
2015-11-13,0.0
2015-11-16,0.0
2016-06-21,12.2449
2016-06-22,13.6364
2016-12-21,6.4
2017-03-27,50.3759
2017-06-26,-39.3939
2017-10-06,0.8333
2017-11-08,0.0
2017-11-16,0.0
2017-11-17,0.0017
2017-11-20,0.0
2017-12-12,0.4116
2018-01-11,1.2362
2018-01-26,0.8211
2018-02-20,0.3935
2018-03-09,0.008
2018-04-11,0.4337
2018-04-26,-0.0406
2018-05-08,0.2049
2018-07-09,1.6211
2018-07-17,3.7923999999999998
2018-08-21,-2.3077
2018-08-24,0.0
2018-09-14,0.0
2018-10-05,18.1102
2018-11-15,-14.3333
2019-01-09,-1.1673
2019-02-08,0.0
2019-02-11,0.0079
2019-02-19,-0.0079
2019-03-04,0.0
2019-03-18,37.7953
2019-03-19,-27.4229
2019-03-21,2.3541
2019-04-12,1.5703
2019-05-08,33.8359
2019-05-13,-24.1322
2019-06-10,31.8082
2019-06-12,-24.1379
2019-06-25,0.0
2019-08-19,6.0606
2019-10-28,-5.0
2019-10-29,0.0301
2019-11-11,-0.0225
2019-11-18,-0.0075
2019-12-20,9.0226
2020-01-31,-7.5793
2020-02-05,-2.9923
2020-02-10,-23.0768
2020-03-12,-0.5001
2020-03-16,-24.6231
2020-03-18,133.3333
2020-03-23,-57.1429
2020-03-31,0.0
2020-04-13,133.3333
2020-05-22,4.0462
2020-06-11,-44.4444
2020-06-12,0.0001
2020-07-14,-0.0001
