ticker,USAC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-01-15,-2.2222
2013-01-16,-0.1705
2013-01-17,-0.3984
2013-01-18,-0.5714
2013-01-22,2.7011
2013-01-23,-0.2238
2013-01-24,-0.1683
2013-01-25,0.0
2013-01-28,-0.2809
2013-01-29,0.0
2013-01-30,0.169
2013-01-31,-0.3375
2013-02-01,0.5643
2013-02-04,-0.3928
2013-02-05,0.0
2013-02-06,0.2254
2013-02-07,0.6745
2013-02-08,0.2233
2013-02-11,2.0056
2013-02-12,0.7646
2013-02-13,0.3252
2013-02-14,-0.6483
2013-02-15,0.0544
2013-02-19,0.0
2013-02-20,-0.7609
2013-02-21,-1.2596
2013-02-22,1.7194
2013-02-25,-0.9815
2013-02-26,1.5969
2013-02-27,0.6504
2013-02-28,0.4308
2013-03-01,0.2681
2013-03-04,1.4439
2013-03-05,1.2124
2013-03-06,-0.7812
2013-03-07,0.5774
2013-03-08,0.7829
2013-03-11,1.5018
2013-03-12,-0.4082
2013-03-13,0.666
2013-03-14,-0.2036
2013-03-15,0.7649
2013-03-18,-1.2146
2013-03-19,-1.6393
2013-03-20,-0.1042
2013-03-21,-0.2607
2013-03-22,0.3659
2013-03-25,0.0
2013-03-26,1.4062999999999999
2013-03-27,0.9245
2013-03-28,1.7812000000000001
2013-04-01,-0.5
2013-04-02,0.5025
2013-04-03,-1.9
2013-04-04,-0.051
2013-04-05,0.7139
2013-04-08,0.557
2013-04-09,0.5539
2013-04-10,0.2003
2013-04-11,-0.05
2013-04-12,-0.05
2013-04-15,-2.051
2013-04-16,0.5618
2013-04-17,-2.0315
2013-04-18,1.7107
2013-04-19,0.9174
2013-04-22,0.8586
2013-04-23,4.1562
2013-04-24,0.4327
2013-04-25,1.3881999999999999
2013-04-26,-1.7469000000000001
2013-04-29,2.1624
2013-04-30,1.1289
2013-05-01,1.7116
2013-05-02,-0.5576
2013-05-03,1.4019
2013-05-06,2.2580999999999998
2013-05-07,1.0816
2013-05-08,-0.46
2013-05-09,-1.4638
2013-05-10,1.3636
2013-05-13,-0.3587
2013-05-14,-1.9802
2013-05-15,-0.0459
2013-05-16,-0.3215
2013-05-17,1.2903
2013-05-20,-0.5005
2013-05-21,-0.0914
2013-05-22,0.0
2013-05-23,-1.8763999999999998
2013-05-24,2.0522
2013-05-28,1.0969
2013-05-29,2.7125
2013-05-30,-1.8046
2013-05-31,-0.5379
2013-06-03,3.0194
2013-06-04,-5.2931
2013-06-05,-4.8961
2013-06-06,0.6314
