ticker,DKS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-10-16,9.5833
2002-10-17,9.7338
2002-10-18,3.6036
2002-10-21,-2.408
2002-10-22,-0.6169
2002-10-23,3.8621
2002-10-24,8.2337
2002-10-25,-0.9202
2002-10-28,0.6192
2002-10-29,-1.2308
2002-10-30,0.5607
2002-10-31,1.6109
2002-11-01,-3.1098
2002-11-04,0.8181
2002-11-05,0.3121
2002-11-06,3.8581
2002-11-07,1.7376
2002-11-08,-4.5936
2002-11-11,1.5432000000000001
2002-11-12,0.304
2002-11-13,0.0
2002-11-14,0.6061
2002-11-15,4.8795
2002-11-18,-0.0574
2002-11-19,3.1609
2002-11-20,-0.5014
2002-11-21,3.5834
2002-11-22,7.5676
2002-11-25,4.7739
2002-11-26,-4.0767
2002-11-27,2.75
2002-11-29,2.2384
2002-12-02,7.1395
2002-12-03,0.1333
2002-12-04,-1.5972
2002-12-05,-2.1641
2002-12-06,0.4608
2002-12-09,2.7523
2002-12-10,-0.8929
2002-12-11,-1.0811
2002-12-12,-2.5501
2002-12-13,-6.5888
2002-12-16,1.0505
2002-12-17,-1.5842
2002-12-18,-5.1811
2002-12-19,-1.8568
2002-12-20,5.9459
2002-12-23,2.0408
2002-12-24,-3.95
2002-12-26,-0.8329
2002-12-27,0.2625
2002-12-30,-0.3141
2002-12-31,0.8403
2003-01-02,4.2708
2003-01-03,-0.8492
2003-01-06,8.0605
2003-01-07,-2.331
2003-01-08,0.2387
2003-01-09,1.8571
2003-01-10,0.5143
2003-01-13,0.2326
2003-01-14,-1.3921000000000001
2003-01-15,-1.1764999999999999
2003-01-16,2.6189999999999998
2003-01-17,0.464
2003-01-21,-1.6166
2003-01-22,-3.7559
2003-01-23,-5.122
2003-01-24,1.5424
2003-01-27,-2.2785
2003-01-28,-2.4352
2003-01-29,-1.7525
2003-01-30,0.0
2003-01-31,2.7027
2003-02-03,-8.9474
2003-02-04,2.6012
2003-02-05,-1.7465000000000002
2003-02-06,0.0
2003-02-07,3.211
2003-02-10,-2.7778
2003-02-11,17.5429
2003-02-12,-1.7987
2003-02-13,0.9901
2003-02-14,1.8136999999999999
2003-02-18,4.7665
2003-02-19,0.1838
2003-02-20,1.4679
2003-02-21,6.8264
2003-02-24,-2.5815
2003-02-25,-2.4761
2003-02-26,-0.2227
2003-02-27,0.2679
2003-02-28,4.1407
2003-03-03,-2.8217
2003-03-04,0.308
2003-03-05,-0.5263
2003-03-06,-5.2028
2003-03-07,4.4186
