ticker,LRGR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-09-29,23.0769
2014-10-27,3.125
2015-04-17,66.6667
2015-04-21,83.6364
2015-05-22,-68.3168
2015-06-09,200.0
2015-06-19,-24.375
2015-06-26,-10.4683
2015-06-30,-21.5385
2015-08-07,21.5686
2015-08-10,90.3226
2015-08-11,-16.1017
2015-08-12,8.0808
2015-08-13,48.5981
2015-08-14,-2.5157
2015-08-17,19.3548
2015-08-18,15.1351
2015-08-19,17.3709
2015-08-20,22.0
2015-08-21,-44.2623
2015-08-24,-57.6471
2015-08-25,52.7778
2015-08-26,-13.6364
2015-08-27,-27.3684
2015-08-28,63.7681
2015-08-31,-7.0796
2015-09-01,-6.6667
2015-09-02,-7.2449
2015-09-03,-11.9912
2015-09-04,-25.0
2015-09-08,11.6667
2015-09-09,11.9403
2015-09-10,-29.3333
2015-09-11,9.4104
2015-09-14,-10.8429
2015-09-15,-1.354
2015-09-16,-16.5686
2015-09-17,5.7873
2015-09-18,-20.0222
2015-09-21,-1.1111
2015-09-22,1.1236
2015-09-24,16.6667
2015-09-25,-15.4762
2015-09-28,31.1972
2015-09-29,-3.3414
2015-09-30,2.2074
2015-10-02,39.0655
2015-10-05,-14.0457
2015-10-06,-11.7614
2015-10-07,1.9961
2015-10-08,2.5253
2015-10-09,0.0
2015-10-12,-2.4631
2015-10-13,5.0505
2015-10-14,-2.4038
2015-10-15,-1.4778
2015-10-16,-20.0
2015-10-20,0.0
2015-10-21,0.0
2015-10-22,12.5
2015-10-23,-11.1111
2015-10-26,-12.4688
2015-10-27,12.1207
2015-10-28,1.8946
2015-10-29,-12.4688
2015-10-30,-8.6041
2015-11-02,-8.0078
2015-11-03,11.0616
2015-11-04,29.3825
2015-11-05,-16.9031
2015-11-06,-20.3414
2015-11-09,0.0
2015-11-11,25.5357
2015-11-12,-20.3414
2015-11-13,-7.1429
2015-11-17,-3.8462
2015-11-18,0.2
2015-11-19,-0.1996
2015-11-20,0.0
2015-11-24,-19.6
2015-11-30,-0.4975
2015-12-02,-25.0
2015-12-04,0.0
2015-12-08,0.0
2015-12-09,0.0833
2015-12-11,-0.0833
2015-12-14,66.6667
2015-12-15,-16.0
2015-12-17,19.0476
2015-12-18,-15.725
2015-12-21,-1.2756
2015-12-22,3.3654
2015-12-23,0.0
2015-12-31,-4.6512
2016-01-04,36.5854
2016-01-07,-24.933
2016-01-08,-0.0892
2016-01-11,33.3333
2016-01-12,3.8839
2016-01-13,0.0
