ticker,BRG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-03-31,-0.3436
2014-04-01,5.1724
2014-04-02,-1.6393
2014-04-03,-2.6667
2014-04-04,0.0
2014-04-07,-0.6849
2014-04-08,0.3448
2014-04-09,0.3436
2014-04-10,-0.6849
2014-04-11,0.6897
2014-04-14,0.4795
2014-04-15,-0.4772
2014-04-16,0.0
2014-04-17,0.4101
2014-04-21,-1.0223
2014-04-22,-1.3784
2014-04-23,-0.1631
2014-04-24,-1.2676
2014-04-25,-0.0009
2014-04-28,0.5701
2014-04-29,-1.2766
2014-04-30,-3.2351
2014-05-01,0.1477
2014-05-02,0.9996
2014-05-05,0.9943
2014-05-06,-3.0545
2014-05-07,0.2251
2014-05-08,-4.6407
2014-05-09,5.102
2014-05-12,-3.7340999999999998
2014-05-13,-2.1722
2014-05-14,0.0793
2014-05-15,4.5959
2014-05-16,0.0758
2014-05-19,-1.0522
2014-05-20,-0.6221
2014-05-21,0.7466
2014-05-22,-3.3102
2014-05-23,-0.9619
2014-05-27,-2.566
2014-05-28,5.6106
2014-05-29,1.5625
2014-05-30,-1.5385
2014-06-02,4.6094
2014-06-03,1.1202
2014-06-04,1.4771
2014-06-05,1.9651
2014-06-06,0.7736
2014-06-09,1.1448
2014-06-10,-2.3109
2014-06-11,0.0
2014-06-12,-0.6093
2014-06-13,2.7768
2014-06-16,0.9123
2014-06-17,-1.9471
2014-06-18,-1.2766
2014-06-19,1.2931
2014-06-20,-11.3475
2014-06-23,6.7733
2014-06-24,0.0
2014-06-25,0.3019
2014-06-26,-1.3544
2014-06-27,-1.6018
2014-06-30,2.1705
2014-07-01,2.0486
2014-07-02,-0.7435
2014-07-03,2.2472
2014-07-07,-2.1978
2014-07-08,-1.3483
2014-07-09,1.2908
2014-07-10,-0.2999
2014-07-11,0.5263
2014-07-14,-2.3186
2014-07-15,1.072
2014-07-16,-2.5
2014-07-17,0.777
2014-07-18,-1.3878
2014-07-21,-1.9546999999999999
2014-07-22,0.0797
2014-07-23,0.2922
2014-07-24,-1.8415
2014-07-25,0.6525
2014-07-28,0.5673
2014-07-29,-4.3513
2014-07-30,-1.8534000000000002
2014-07-31,-0.4292
2014-08-01,-0.7759
2014-08-04,2.172
2014-08-05,0.3401
2014-08-06,-0.7627
2014-08-07,-0.854
2014-08-08,1.8088
2014-08-11,1.5228000000000002
2014-08-12,2.0833
2014-08-13,1.9592
2014-08-14,-2.5620000000000003
2014-08-15,5.5053
2014-08-18,-1.8692
