ticker,INDB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,1.0
2000-01-04,-8.9109
2000-01-05,2.1739
2000-01-06,2.1277
2000-01-07,-2.6042
2000-01-10,-0.5348
2000-01-11,-0.5376
2000-01-12,0.5405
2000-01-13,-1.0753
2000-01-14,1.087
2000-01-18,3.2258
2000-01-19,4.1667
2000-01-20,-3.0
2000-01-21,-0.5155
2000-01-24,0.5181
2000-01-25,-4.1237
2000-01-26,2.1505
2000-01-27,1.0526
2000-01-28,-4.6875
2000-01-31,0.2732
2000-02-01,-1.3624
2000-02-02,1.105
2000-02-03,2.1858
2000-02-04,-0.5348
2000-02-07,-2.1505
2000-02-08,0.0
2000-02-09,-1.0989
2000-02-10,-2.2222
2000-02-11,-1.7045
2000-02-14,-3.4682
2000-02-15,-2.3952
2000-02-16,0.6135
2000-02-17,1.2195
2000-02-18,-1.8072
2000-02-22,-0.6135
2000-02-23,0.0
2000-02-24,1.2346
2000-02-25,-2.439
2000-02-28,2.5
2000-02-29,2.439
2000-03-01,-3.5714
2000-03-02,0.6173
2000-03-03,0.0
2000-03-06,-1.227
2000-03-07,-1.2422
2000-03-08,-1.8868
2000-03-09,0.641
2000-03-10,-1.2739
2000-03-13,-0.6452
2000-03-14,3.2468
2000-03-15,5.0314
2000-03-16,6.5868
2000-03-17,1.1236
2000-03-20,3.3333
2000-03-21,-4.3011
2000-03-22,0.5618
2000-03-23,0.5587
2000-03-24,4.4444
2000-03-27,0.0
2000-03-28,-0.5319
2000-03-29,1.3904
2000-03-30,1.5957
2000-03-31,0.0
2000-04-03,-1.5707
2000-04-04,0.5319
2000-04-05,1.5873
2000-04-06,-1.3021
2000-04-07,-0.2639
2000-04-10,-3.1746
2000-04-11,0.5464
2000-04-12,0.0
2000-04-13,0.0
2000-04-14,-0.5435
2000-04-17,1.6393
2000-04-18,-2.1505
2000-04-19,-1.0989
2000-04-20,1.6667
2000-04-24,-4.3716
2000-04-25,-1.1429
2000-04-26,-1.1561
2000-04-27,-5.848
2000-04-28,1.8634
2000-05-01,1.2195
2000-05-02,-2.4096
2000-05-03,-0.6173
2000-05-04,3.1056
2000-05-05,-1.2048
2000-05-08,0.6098
2000-05-09,-1.8182
2000-05-10,-2.4691
2000-05-11,3.7975
2000-05-12,-3.0488
2000-05-15,0.0
2000-05-16,0.6289
2000-05-17,-2.1875
2000-05-18,3.5144
2000-05-19,-0.6173
2000-05-22,1.8634
2000-05-23,0.6098
2000-05-24,3.0303
