ticker,SCTC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-04-30,-3.8462
2020-05-04,36.0
2020-05-05,11.7647
2020-05-06,34.2105
2020-05-08,-25.4902
2020-05-11,-9.473700000000001
2020-05-12,2.907
2020-05-13,1.6949
2020-05-14,16.6667
2020-05-18,-4.7619
2020-05-19,-10.0
2020-05-20,0.0
2020-05-21,0.0
2020-05-22,13.3333
2020-05-26,0.0
2020-05-27,0.4902
2020-05-28,0.0
2020-06-01,-15.122
2020-06-02,-13.7931
2020-06-03,0.0
2020-06-04,-20.0
2020-06-05,-4.1667
2020-06-08,21.7391
2020-06-12,-28.5714
2020-06-15,0.0
2020-06-16,0.0
2020-06-17,20.0
2020-06-26,-4.1667
2020-07-02,-5.2174
2020-07-07,-1.8349
2020-07-09,1.8692
2020-07-10,-8.2569
2020-07-13,-1.1400000000000001
2020-07-20,-0.8699
2020-07-21,2.0408
2020-07-24,0.0
2020-07-27,-25.0
2020-07-28,0.0
2020-07-29,0.0
