ticker,DLYT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-11-16,0.6897
2005-11-17,1.3699
2005-11-18,0.0
2005-11-21,0.0
2005-11-22,-0.6757
2005-11-23,-8.1548
2005-11-28,9.6195
2005-11-29,-1.3514
2005-11-30,1.3699
2005-12-01,1.3514
2005-12-02,-3.3333
2005-12-05,3.4483
2005-12-06,-3.3333
2005-12-07,0.0
2005-12-08,-3.4483
2005-12-09,7.1429
2005-12-12,-3.3333
2005-12-13,2.069
2005-12-14,-2.027
2005-12-15,0.0
2005-12-16,-6.8966
2005-12-19,0.0
2005-12-20,0.0
2005-12-21,3.7037
2005-12-22,10.0
2005-12-23,-9.0909
2005-12-27,10.7143
2005-12-30,-9.6774
2006-01-03,0.0
2006-01-11,0.0
2006-01-13,10.7143
2006-01-18,-6.4516
2006-01-20,3.4483
2006-01-23,-3.3333
2006-01-24,-3.4483
2006-01-26,0.0
2006-01-27,3.5714
2006-02-07,3.4483
2006-02-13,-3.3333
2006-02-15,-3.4483
2006-02-17,3.5714
2006-02-21,0.0
2006-02-23,10.3448
2006-03-03,0.0
2006-03-06,-31.25
2006-03-07,45.4545
2006-03-17,-25.0
2006-03-20,-16.6667
2006-03-21,75.0
2006-03-24,-37.1429
2006-04-11,0.0
2006-04-17,59.0909
2006-04-18,-45.7143
2006-04-21,84.2105
2006-04-28,-2.8571
2006-05-01,-41.1765
2006-05-02,-75.0
2006-05-03,40.0
2006-05-04,0.0
2006-05-10,14.2857
2006-05-11,-25.0
2006-05-12,16.6667
2006-05-19,57.1429
2006-05-31,0.0
2006-06-07,9.0909
2006-06-26,16.6667
2006-06-27,0.0
2006-07-21,-21.4286
2006-11-22,27.2727
2007-01-22,7.1429
2007-01-26,-1.3333
2007-02-05,-45.9459
2007-02-06,-12.5
2007-02-07,0.0
2007-02-08,-42.8571
2007-02-15,175.0
2007-02-16,-9.0909
2007-02-20,70.0
2007-02-23,0.0
2007-02-26,14.1176
2007-02-27,27.8351
2007-02-28,3.2258
2007-03-01,-21.0938
2007-03-02,-5.9406
2007-03-05,-5.2632
2007-03-12,55.5556
2007-03-19,-62.1429
2007-03-21,7.5472
2007-04-18,3.5088
2007-04-27,-11.8644
2007-05-10,0.0
2007-05-14,-23.0769
2007-05-15,0.0
2007-05-18,0.0
2007-05-23,-25.0
2007-05-29,0.0
2007-05-30,0.0
2007-05-31,16.6667
2007-06-06,-17.1429
2007-06-08,20.6897
2007-06-14,-28.5714
2007-06-15,-16.0
