ticker,PSB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.8462
2000-01-04,-1.7143000000000002
2000-01-05,-0.5814
2000-01-06,1.1696
2000-01-07,4.6243
2000-01-10,-0.5525
2000-01-11,-1.1111
2000-01-12,-1.1236
2000-01-13,3.4091
2000-01-14,-1.6484
2000-01-18,1.1173
2000-01-19,-0.2762
2000-01-20,-0.554
2000-01-21,-0.2786
2000-01-24,-0.5587
2000-01-25,0.0
2000-01-26,0.5618
2000-01-27,-0.5587
2000-01-28,-1.1236
2000-01-31,2.2727
2000-02-01,-0.5556
2000-02-02,-1.1173
2000-02-03,2.8249
2000-02-04,-1.3736
2000-02-07,-1.9499
2000-02-08,0.5682
2000-02-09,0.0
2000-02-10,0.0
2000-02-11,0.0
2000-02-14,0.0
2000-02-15,0.0
2000-02-16,-1.6949
2000-02-17,1.1494
2000-02-18,-1.1364
2000-02-22,0.2874
2000-02-23,-0.2865
2000-02-24,0.5747
2000-02-25,-0.8571
2000-02-28,-0.5764
2000-02-29,1.4493
2000-03-01,0.0
2000-03-02,0.0
2000-03-03,0.0
2000-03-06,0.5714
2000-03-07,-2.2727
2000-03-08,0.8721
2000-03-09,-0.2882
2000-03-10,-1.1561
2000-03-13,-2.924
2000-03-14,-1.2195
2000-03-15,-1.2346
2000-03-16,0.625
2000-03-17,0.6211
2000-03-20,0.0
2000-03-21,0.0
2000-03-22,0.6173
2000-03-23,0.0
2000-03-24,0.0
2000-03-27,0.3067
2000-03-28,-2.1407
2000-03-29,0.625
2000-03-30,1.8634
2000-03-31,-0.6098
2000-04-03,0.6135
2000-04-04,3.0488
2000-04-05,-0.2959
2000-04-06,0.2967
2000-04-07,0.2959
2000-04-10,0.295
2000-04-11,0.5882
2000-04-12,4.6784
2000-04-13,-1.6760000000000002
2000-04-14,1.1364
2000-04-17,-1.1236
2000-04-18,0.0
2000-04-19,0.8523
2000-04-20,-0.5634
2000-04-24,0.0
2000-04-25,0.5666
2000-04-26,-0.8451
2000-04-27,0.8523
2000-04-28,0.2817
2000-05-01,0.5618
2000-05-02,1.6760000000000002
2000-05-03,0.5495
2000-05-04,2.7321999999999997
2000-05-05,-0.266
2000-05-08,-1.0667
2000-05-09,2.4259
2000-05-10,1.3158
2000-05-11,2.8571
2000-05-12,0.5051
2000-05-15,1.005
2000-05-16,-1.4925
2000-05-17,-5.0505
2000-05-18,0.5319
2000-05-19,-0.5291
2000-05-22,-0.5319
2000-05-23,-2.1390000000000002
2000-05-24,3.8251
