ticker,KOPN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.1905000000000001
2000-01-04,-2.1084
2000-01-05,-1.5385
2000-01-06,-6.875
2000-01-07,2.0134
2000-01-10,1.4803
2000-01-11,-1.7828
2000-01-12,15.8416
2000-01-13,19.6581
2000-01-14,1.0714
2000-01-18,13.0742
2000-01-19,26.6667
2000-01-20,-5.8388
2000-01-21,-3.7555
2000-01-24,1.6334
2000-01-25,-5.1786
2000-01-26,-4.9906
2000-01-27,23.6868
2000-01-28,-9.2949
2000-01-31,-0.53
2000-02-01,4.6181
2000-02-02,4.966
2000-02-03,16.114
2000-02-04,-0.2612
2000-02-07,0.2793
2000-02-08,9.4708
2000-02-09,-2.799
2000-02-10,2.4869
2000-02-11,-4.47
2000-02-14,-2.6738
2000-02-15,-6.8681
2000-02-16,3.9823
2000-02-17,2.4112999999999998
2000-02-18,2.0776
2000-02-22,-2.578
2000-02-23,-7.1727
2000-02-24,-2.8507
2000-02-25,-4.2471
2000-02-28,-5.8065
2000-02-29,1.5411000000000001
2000-03-01,18.2125
2000-03-02,3.2096999999999998
2000-03-03,0.9675
2000-03-06,-4.8597
2000-03-07,-5.8993
2000-03-08,-1.9878
2000-03-09,2.3401
2000-03-10,0.6098
2000-03-13,3.2576
2000-03-14,-1.2472
2000-03-15,-11.107
2000-03-16,11.1575
2000-03-17,-3.7594
2000-03-20,-8.75
2000-03-21,1.3699
2000-03-22,1.8580999999999999
2000-03-23,-5.8043
2000-03-24,3.3451
2000-03-27,3.5775
2000-03-28,1.2336
2000-03-29,-9.6669
2000-03-30,-1.4388
2000-03-31,0.365
2000-04-03,-7.6364
2000-04-04,10.2362
2000-04-05,-6.4286
2000-04-06,5.3435
2000-04-07,5.7971
2000-04-10,-13.2705
2000-04-11,-13.7463
2000-04-12,-12.7897
2000-04-13,11.0236
2000-04-14,-10.1655
2000-04-17,-0.6579
2000-04-18,19.7351
2000-04-19,-0.885
2000-04-20,-2.0089
2000-04-24,0.0
2000-04-25,7.0615
2000-04-26,6.0638
2000-04-27,16.4493
2000-04-28,6.7183
2000-05-01,4.7619
2000-05-02,-13.7134
2000-05-03,2.5
2000-05-04,0.196
2000-05-05,6.0639
2000-05-08,-6.8852
2000-05-09,-4.2254
2000-05-10,-9.4669
2000-05-11,7.0051
2000-05-12,4.1746
2000-05-15,0.0
2000-05-16,2.1858
2000-05-17,-2.5846999999999998
2000-05-18,-7.4337
2000-05-19,0.4201
2000-05-22,5.1181
