ticker,CBIA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,27400.0
2000-02-15,-99.6364
2000-03-24,0.0
2000-03-27,0.0
2000-05-12,0.0
2000-05-15,0.0
2001-04-10,100.0
2001-07-02,100.0
2001-10-17,400.0
2001-12-05,-25.0
2002-01-04,-73.3333
2002-02-07,0.0
2002-02-20,-25.0
2003-11-11,400.0
2004-01-13,33.3333
2004-01-21,-50.0
2004-03-23,10.0
2004-04-20,-27.2727
2004-04-21,-12.5
2004-05-24,-14.2857
2004-06-03,-50.0
2004-07-08,50.0
2004-09-29,344.4444
2004-11-05,0.0
2004-11-08,-65.0
2004-11-09,14.2857
2005-02-11,150.0
2005-04-19,-20.0
2005-04-29,12.5
2005-05-02,0.0
2005-06-06,-72.2222
2005-06-23,60.0
2005-06-24,22.5
2005-08-16,-38.7755
2005-09-30,33.3333
2005-10-03,-25.0
2005-10-06,66.6667
2005-10-07,0.0
2006-05-19,-40.0
2006-05-31,0.0
2006-11-16,0.0
2007-06-14,316.6667
2007-06-15,0.0
2007-06-18,0.0
2007-07-11,4.0
2007-07-13,-1.9231
2007-07-17,30.719
2007-07-18,0.0
2007-07-19,0.0
2007-07-23,0.0
2007-07-24,0.0
2007-07-30,0.0
2007-07-31,-3.0
2007-08-01,-1.0309
2007-08-03,4.1667
2007-08-07,0.0
2007-08-10,-2.0
2007-08-14,-13.2653
2007-08-15,-5.8824
2007-08-21,0.0
2007-08-22,30.0
2007-08-24,0.0
2007-08-29,-23.0769
2007-08-30,6.25
2007-08-31,0.0
2007-09-10,18.8235
2007-09-12,-20.7921
2007-09-13,0.0
2007-09-18,3.5
2007-09-20,2.657
2007-10-08,12.2353
2007-10-17,-2.0964
2007-10-18,-3.6403
2007-10-25,5.5556
2007-10-26,5.2632
2007-11-02,-0.2
2007-11-05,-1.8035999999999999
2007-11-08,0.0
2007-11-13,-8.1633
2007-11-15,-5.5556
2007-11-30,16.4706
2007-12-03,1.0101
2007-12-04,0.0
2007-12-05,1.0
2007-12-06,18.2178
2007-12-07,0.5025
2007-12-10,-8.3333
2007-12-12,10.0
2007-12-13,15.7025
2007-12-14,0.0
2007-12-17,-3.5714
2007-12-27,3.7037
2007-12-31,14.2857
2008-01-22,-25.0
2008-02-21,-48.3333
2008-03-03,93.5484
2008-03-05,-48.3333
2008-03-27,182.2581
2008-04-23,-30.2857
2008-04-24,0.8197
2008-04-25,-10.5691
2008-04-28,-9.0909
2008-04-30,-10.0
2008-05-30,5.5556
