ticker,PSNL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-06-20,67.5882
2019-06-21,6.1776
2019-06-24,-2.9421
2019-06-25,-5.3134
2019-06-26,-2.8777
2019-06-27,3.4444
2019-06-28,-2.7927
2019-07-01,-8.6556
2019-07-02,-6.8145
2019-07-03,-0.476
2019-07-05,-3.0435
2019-07-08,2.9148
2019-07-09,-0.4793
2019-07-10,4.0718
2019-07-11,5.2167
2019-07-12,1.3195000000000001
2019-07-15,-8.011
2019-07-16,-3.1746
2019-07-17,-10.0133
2019-07-18,5.3668
2019-07-19,4.7664
2019-07-22,0.7583
2019-07-23,-2.4347
2019-07-24,-3.0399
2019-07-25,-2.5269
2019-07-26,-7.2012
2019-07-29,-8.0186
2019-07-30,2.6433999999999997
2019-07-31,-1.863
2019-08-01,-11.2786
2019-08-02,-0.6293
2019-08-05,-7.2831
2019-08-06,4.0301
2019-08-07,10.9652
2019-08-08,8.1065
2019-08-09,0.8758
2019-08-12,4.4493
2019-08-13,2.3896
2019-08-14,-17.5545
2019-08-15,4.1231
2019-08-16,6.6785
2019-08-19,5.651
2019-08-20,3.8804
2019-08-21,0.9086
2019-08-22,-3.6518
2019-08-23,-2.0768
2019-08-26,3.2874
2019-08-27,-0.5647
2019-08-28,0.6711
2019-08-29,-0.6667
2019-08-30,-0.1033
2019-09-03,-4.1344
2019-09-04,-6.8464
2019-09-05,-0.9259
2019-09-06,5.0234
2019-09-09,-11.4572
2019-09-10,-3.8317
2019-09-11,5.8132
2019-09-12,5.0
2019-09-13,-1.6461000000000001
2019-09-16,-2.9289
2019-09-17,-0.4926
2019-09-18,-0.7426
2019-09-19,0.6858
2019-09-20,1.6099
2019-09-23,3.7172
2019-09-24,-1.2338
2019-09-25,-2.3795
2019-09-26,-5.3626
2019-09-27,-8.8216
2019-09-30,3.637
2019-10-01,-13.1857
2019-10-02,-1.0204
2019-10-03,2.6963
2019-10-04,-1.8533
2019-10-07,0.7868
2019-10-08,-7.5722000000000005
2019-10-09,-6.25
2019-10-10,2.1622
2019-10-11,-3.5273
2019-10-14,3.1993
2019-10-15,1.9485999999999999
2019-10-16,4.4309
2019-10-17,1.7471
2019-10-18,-2.6983
2019-10-21,0.1681
2019-10-22,-1.4262000000000001
2019-10-23,0.2553
2019-10-24,-3.9049
2019-10-25,1.5901
2019-10-28,-5.2174
2019-10-29,-7.5229
2019-10-30,2.4802
2019-10-31,0.2904
2019-11-01,4.9228
2019-11-04,3.4959
2019-11-05,-2.7556000000000003
