ticker,AIRG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-08-15,3.75
2016-08-16,-2.2892
2016-08-17,1.0835
2016-08-18,12.2242
2016-08-19,8.1522
2016-08-22,3.5176
2016-08-23,9.9029
2016-08-24,-6.9788
2016-08-25,0.8547
2016-08-26,0.7533
2016-08-29,16.729
2016-08-30,0.4804
2016-08-31,-7.0518
2016-09-01,1.6717
2016-09-02,-2.4452
2016-09-06,0.3457
2016-09-07,20.155
2016-09-08,-0.2151
2016-09-09,-4.9569
2016-09-12,0.3779
2016-09-13,-3.6145
2016-09-14,1.5625
2016-09-15,18.0769
2016-09-16,-7.4919
2016-09-19,2.6056
2016-09-20,10.6383
2016-09-21,-0.4342
2016-09-22,-3.3645
2016-09-23,0.4513
2016-09-26,-4.3646
2016-09-27,4.8993
2016-09-28,6.27
2016-09-29,-3.9133
2016-09-30,-1.2530999999999999
2016-10-03,-4.3147
2016-10-04,-6.4324
2016-10-05,-2.8349
2016-10-06,-3.7929
2016-10-07,5.7619
2016-10-10,8.8889
2016-10-11,-3.95
2016-10-12,1.9191
2016-10-13,-0.807
2016-10-14,-0.7458
2016-10-17,-4.7814
2016-10-18,2.9412000000000003
2016-10-19,-2.439
2016-10-20,1.0714
2016-10-21,-1.4841
2016-10-24,3.5151
2016-10-25,-1.3167
2016-10-26,-1.3343
2016-10-27,-7.5445
2016-10-28,-2.6174
2016-10-31,-1.1067
2016-11-01,-0.8793
2016-11-02,-1.2903
2016-11-03,-4.2484
2016-11-04,2.2184
2016-11-07,1.0851
2016-11-08,5.3675
2016-11-09,11.9122
2016-11-10,0.0
2016-11-11,6.8627
2016-11-14,27.4574
2016-11-15,19.7429
2016-11-16,-4.6801
2016-11-17,18.6486
2016-11-18,-5.1253
2016-11-21,3.0412
2016-11-22,3.8834999999999997
2016-11-23,0.7477
2016-11-25,-13.506499999999999
2016-11-28,-14.1999
2016-11-29,-8.05
2016-11-30,6.634
2016-12-01,-2.8047
2016-12-02,-5.7712
2016-12-05,-5.4009
2016-12-06,4.7675
2016-12-07,16.573
2016-12-08,-10.2651
2016-12-09,-1.9870999999999999
2016-12-12,1.1507
2016-12-13,-0.8667
2016-12-14,-16.2842
2016-12-15,-8.5509
2016-12-16,8.9222
2016-12-19,-1.1796
2016-12-20,1.2599
2016-12-21,0.0655
2016-12-22,-0.6545
2016-12-23,-3.6891
2016-12-27,1.9836
2016-12-28,0.0
2016-12-29,-4.0241
2016-12-30,0.6289
2017-01-03,-3.5417
