ticker,PTLF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-05-15,0.0
2008-05-16,-2.5
2008-05-30,-3.5897
2008-06-20,6.383
2008-06-23,-5.0
2008-07-03,0.0
2008-07-09,0.0
2008-07-15,0.0
2008-07-22,-10.526299999999999
2008-07-30,-6.4706
2008-07-31,25.1572
2008-08-01,-36.6834
2008-08-04,58.730199999999996
2008-08-06,-2.5
2008-08-11,-23.0769
2008-08-12,0.0
2008-08-13,30.0
2008-08-20,-2.5641
2008-08-21,-14.7368
2008-08-22,-10.4938
2008-08-25,2.069
2008-08-26,0.6757
2008-08-27,-2.6846
2008-08-28,-10.3448
2008-08-29,15.3846
2008-09-02,-3.3333
2008-09-03,0.0
2008-09-04,-6.8966
2008-09-05,-7.4074
2008-09-08,0.0
2008-09-09,-8.0
2008-09-10,3.4783
2008-09-11,-6.7227
2008-09-12,3.6036
2008-09-15,-4.3478
2008-09-16,-8.1818
2008-09-17,-10.8911
2008-09-18,-1.1111
2008-09-19,-16.8539
2008-09-22,0.0
2008-09-23,-12.1622
2008-09-24,-3.0769
2008-09-25,-12.6984
2008-09-29,0.0
2008-09-30,-12.7273
2008-10-02,-16.6667
2008-10-03,-12.5
2008-10-06,0.0
2008-10-07,5.7143
2008-10-08,-18.9189
2008-10-09,-16.6667
2008-10-10,-20.0
2008-10-13,10.0
2008-10-14,-22.7273
2008-10-15,17.647100000000002
2008-10-20,-10.0
2008-10-23,-16.6667
2008-10-28,-40.0
2008-10-29,0.0
2008-10-30,0.0
2008-10-31,-11.1111
2008-11-04,-37.5
2008-11-06,80.0
2008-11-07,-11.1111
2008-11-12,50.0
2008-11-13,-58.3333
2008-11-18,90.0
2008-11-20,0.0
2008-11-24,-47.3684
2008-11-28,-40.0
2008-12-05,0.0
2008-12-08,0.0
2008-12-10,16.6667
2008-12-11,82.8571
2008-12-12,-21.875
2008-12-15,0.0
2008-12-16,0.0
2008-12-17,0.0
2008-12-18,20.0
2008-12-22,-25.0
2008-12-23,0.0
2008-12-26,-11.1111
2008-12-29,-12.5
2008-12-31,14.2857
2009-01-02,-10.0
2009-01-05,-2.7778
2009-01-06,2.8571
2009-01-09,-2.7778
2009-01-12,2.8571
2009-01-15,0.0
2009-01-16,94.4444
2009-01-20,-50.0
2009-01-21,0.0
2009-01-22,-14.2857
2009-01-27,-33.3333
2009-01-28,0.0
2009-01-29,-10.0
2009-01-30,-33.3333
2009-02-02,-16.6667
2009-02-03,120.0
2009-02-04,25.0
