ticker,SNOA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-01-25,-2.5
2007-01-26,1.1538
2007-01-29,-1.9011
2007-01-30,0.7752
2007-01-31,-1.6667
2007-02-01,-4.5632
2007-02-02,2.7321999999999997
2007-02-05,-1.1968
2007-02-06,-2.0188
2007-02-07,0.4121
2007-02-08,-0.5472
2007-02-09,-3.3012
2007-02-12,-3.1294
2007-02-13,4.9927
2007-02-14,3.6364
2007-02-15,1.8893
2007-02-16,-0.7947
2007-02-20,4.0053
2007-02-21,-1.2837
2007-02-22,-3.7711
2007-02-23,8.1081
2007-02-26,0.0
2007-02-27,-3.125
2007-02-28,-0.6452
2007-03-01,-1.6883
2007-03-02,-5.0198
2007-03-05,-8.0668
2007-03-06,1.9667
2007-03-07,4.0041
2007-03-08,0.4298
2007-03-09,-0.5682
2007-03-12,-5.4286
2007-03-13,2.1148
2007-03-14,-0.2959
2007-03-15,-2.0772
2007-03-16,1.6667
2007-03-19,-3.1297
2007-03-20,-2.1538
2007-03-21,-5.0314
2007-03-22,14.9007
2007-03-23,-5.7637
2007-03-26,3.211
2007-03-27,-5.6296
2007-03-28,-4.2386
2007-03-29,0.0
2007-03-30,-2.459
2007-04-02,-1.0084
2007-04-03,-3.2258
2007-04-04,0.8772
2007-04-05,5.5652
2007-04-09,0.659
2007-04-10,-0.8183
2007-04-11,-0.9901
2007-04-12,-0.8333
2007-04-13,-0.5042
2007-04-16,2.1959
2007-04-17,0.0
2007-04-18,-1.6529
2007-04-19,3.1933
2007-04-20,-2.1173
2007-04-23,-0.1664
2007-04-24,-0.8333
2007-04-25,0.8403
2007-04-26,5.0
2007-04-27,0.7937
2007-04-30,-3.4646
2007-05-01,2.1207
2007-05-02,0.3195
2007-05-03,6.051
2007-05-04,1.3514
2007-05-07,-0.1481
2007-05-08,6.8248999999999995
2007-05-09,-1.1111
2007-05-10,-2.9494
2007-05-11,0.0
2007-05-14,0.5789
2007-05-15,-3.5971
2007-05-16,-2.5373
2007-05-17,-2.7565
2007-05-18,0.0
2007-05-21,3.7795
2007-05-22,4.5524000000000004
2007-05-23,-3.193
2007-05-24,6.1469
2007-05-25,0.9887
2007-05-29,1.958
2007-05-30,-1.2346
2007-05-31,2.0833
2007-06-01,-0.6803
2007-06-04,-3.9726
2007-06-05,-4.7076
2007-06-06,-2.6946
2007-06-07,0.7692
2007-06-08,0.4046
2007-06-11,11.9745
2007-06-12,-1.6974
2007-06-13,-1.0913
2007-06-14,6.5642
