ticker,APLS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-11-09,0.2143
2017-11-10,-0.2138
2017-11-13,0.7143
2017-11-14,-1.2057
2017-11-15,-0.7179
2017-11-16,-0.0723
2017-11-17,-0.2171
2017-11-20,-1.3778000000000001
2017-11-21,-0.1471
2017-11-22,-1.9146
2017-11-24,2.1021
2017-11-27,0.3676
2017-11-28,-1.978
2017-11-29,3.5127
2017-11-30,-0.2166
2017-12-01,1.4472
2017-12-04,-0.1427
2017-12-05,-1.9285999999999999
2017-12-06,-0.9468
2017-12-07,2.8676
2017-12-08,2.7877
2017-12-11,0.9736
2017-12-12,-11.2948
2017-12-13,-1.3199
2017-12-14,5.0354
2017-12-15,-2.2472
2017-12-18,11.1877
2017-12-19,-0.8959
2017-12-20,-0.765
2017-12-21,16.1878
2017-12-22,11.2786
2017-12-26,1.626
2017-12-27,4.2667
2017-12-28,5.0128
2017-12-29,5.699
2018-01-02,-4.2396
2018-01-03,8.9509
2018-01-04,10.159
2018-01-05,-5.814
2018-01-08,-2.086
2018-01-09,-5.2609
2018-01-10,-7.0216
2018-01-11,-1.7769
2018-01-12,-4.9749
2018-01-16,-4.6536
2018-01-17,8.1531
2018-01-18,1.4359
2018-01-19,-4.4489
2018-01-22,0.5291
2018-01-23,-5.6316
2018-01-24,-3.681
2018-01-25,0.2316
2018-01-26,-0.8666
2018-01-29,-3.6131
2018-01-30,10.4595
2018-01-31,-9.1407
2018-02-01,-1.0843
2018-02-02,0.1827
2018-02-05,-5.6535
2018-02-06,-3.0928
2018-02-07,0.3324
2018-02-08,-0.5302
2018-02-09,-6.6622
2018-02-12,6.5667
2018-02-13,-1.5405
2018-02-14,3.0612
2018-02-15,5.2145
2018-02-16,-6.2108
2018-02-20,-2.0736
2018-02-21,0.888
2018-02-22,3.2498
2018-02-23,7.082
2018-02-26,17.3913
2018-02-27,-5.8946
2018-02-28,1.6075
2018-03-01,1.0911
2018-03-02,9.2283
2018-03-05,6.0771
2018-03-06,2.1891
2018-03-07,1.5041
2018-03-08,0.2694
2018-03-09,-0.3135
2018-03-12,5.5705
2018-03-13,-4.6809
2018-03-14,12.6339
2018-03-15,-2.6952
2018-03-16,5.9878
2018-03-19,-1.4604
2018-03-20,-4.2122
2018-03-21,-5.171
2018-03-22,1.9322
2018-03-23,3.2013
2018-03-26,-0.7755
2018-03-27,-0.1645
2018-03-28,-1.1125
2018-03-29,-7.875
2018-04-02,-7.6436
2018-04-03,6.1704
2018-04-04,9.7325
