ticker,DOC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-07-19,0.0
2013-07-22,1.0435
2013-07-23,1.1188
2013-07-24,-0.8511
2013-07-25,-0.0858
2013-07-26,-1.2027
2013-07-29,0.6957
2013-07-30,-0.4318
2013-07-31,-0.2602
2013-08-01,0.8696
2013-08-02,-0.431
2013-08-05,0.6926
2013-08-06,-0.258
2013-08-07,-1.2931
2013-08-08,1.31
2013-08-09,-0.3448
2013-08-12,0.519
2013-08-13,0.4303
2013-08-14,0.5141
2013-08-15,0.5115
2013-08-16,-2.5445
2013-08-19,-0.2611
2013-08-20,0.349
2013-08-21,0.5217
2013-08-22,-0.4325
2013-08-23,-0.3475
2013-08-26,-0.959
2013-08-27,0.6162
2013-08-28,0.6124
2013-08-29,-2.4348
2013-08-30,0.3565
2013-09-03,2.2202
2013-09-04,1.1295
2013-09-05,-0.8591
2013-09-06,-0.4333
2013-09-09,1.5666
2013-09-10,0.1714
2013-09-11,-0.2566
2013-09-12,0.0858
2013-09-13,1.5424
2013-09-16,0.7595
2013-09-17,2.3451
2013-09-18,0.0
2013-09-19,0.4092
2013-09-20,-2.3635
2013-09-23,0.3339
2013-09-24,-0.2496
2013-09-25,0.6672
2013-09-26,0.2486
2013-09-27,-0.2479
2013-09-30,0.4143
2013-10-01,2.1452
2013-10-02,2.1002
2013-10-03,-1.8195999999999999
2013-10-04,0.6446
2013-10-07,0.0
2013-10-08,-1.4412
2013-10-09,1.381
2013-10-10,2.2436
2013-10-11,0.0
2013-10-14,0.7053
2013-10-15,0.2335
2013-10-16,0.854
2013-10-17,0.4684
2013-10-18,-0.5439
2013-10-21,0.0
2013-10-22,0.0
2013-10-23,0.0
2013-10-24,-0.3125
2013-10-25,0.4702
2013-10-28,-0.39
2013-10-29,0.2349
2013-10-30,-1.875
2013-10-31,0.0
2013-11-01,-0.8758
2013-11-04,2.6506
2013-11-05,-0.5477
2013-11-06,-0.9441
2013-11-07,-3.0183
2013-11-08,-0.1638
2013-11-11,2.1329
2013-11-12,1.9277
2013-11-13,-1.8913
2013-11-14,-0.5622
2013-11-15,-0.4847
2013-11-18,-0.7305
2013-11-19,0.0
2013-11-20,-1.1447
2013-11-21,0.3309
2013-11-22,-0.5771
2013-11-25,-0.3317
2013-11-26,-0.4992
2013-11-27,0.1672
2013-11-29,-0.2504
2013-12-02,-4.1004
2013-12-03,-1.9197
2013-12-04,0.1779
2013-12-05,2.2202
2013-12-06,1.4769999999999999
2013-12-09,-0.5137
