ticker,ISML US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-08-22,-1.3889
2007-08-23,11.2676
2007-08-24,0.0
2007-08-28,-5.0633
2007-08-29,0.0
2007-08-31,5.3333
2007-09-05,1.2658
2007-09-11,0.0
2007-09-13,0.0
2007-09-18,-12.5
2007-09-20,14.2857
2007-09-21,-62.5
2007-09-24,0.0
2007-09-26,0.0
2007-09-27,16.6667
2007-09-28,0.0
2007-10-02,0.0
2007-10-03,0.0
2007-10-09,0.0
2007-10-22,-42.8571
2007-11-02,0.0
2007-11-09,100.0
2007-11-12,0.0
2007-11-13,-52.5
2007-11-15,0.0
2007-11-16,0.0
2007-11-19,0.0
2007-11-21,-36.8421
2007-11-23,0.0
2007-11-26,75.0
2007-11-27,-14.2857
2007-11-29,0.0
2007-12-12,22.2222
2007-12-13,-31.8182
2007-12-17,66.6667
2007-12-18,60.0
2007-12-19,0.0
2007-12-20,25.0
2007-12-21,70.0
2007-12-24,-38.8235
2007-12-26,0.0
2007-12-27,-3.8462
2007-12-28,-30.0
2007-12-31,5.7143
2008-01-02,8.1081
2008-01-03,27.5
2008-01-04,-21.5686
2008-01-07,-12.5
2008-01-08,57.1429
2008-01-09,-32.7273
2008-01-10,-13.5135
2008-01-11,-6.25
2008-01-14,-20.0
2008-01-16,-4.1667
2008-01-17,4.3478
2008-01-22,2.0833
2008-01-23,18.3673
2008-01-24,3.4483
2008-01-25,-3.3333
2008-01-28,-13.7931
2008-01-29,-8.0
2008-01-30,-43.4783
2008-01-31,15.3846
2008-02-01,-40.0
2008-02-04,66.6667
2008-02-05,6.6667
2008-02-06,0.0
2008-02-07,-6.25
2008-02-08,6.6667
2008-02-11,-12.5
2008-02-12,0.0
2008-02-13,0.0
2008-02-14,-14.2857
2008-02-15,-16.6667
2008-02-19,-20.0
2008-02-20,0.0
2008-02-21,-12.5
2008-02-22,0.0
2008-02-25,0.0
2008-02-26,-7.1429
2008-02-27,-23.0769
2008-02-28,0.0
2008-02-29,-20.0
2008-03-03,50.0
2008-03-04,33.3333
2008-03-05,-25.0
2008-03-06,-16.6667
2008-03-07,40.0
2008-03-10,-14.2857
2008-03-11,-50.0
2008-03-12,0.0
2008-03-13,33.3333
2008-03-17,0.0
2008-03-18,0.0
2008-03-24,-50.0
2008-03-25,0.0
2008-03-26,0.0
2008-03-27,100.0
2008-03-28,-37.5
2008-04-04,-20.0
2008-04-07,0.0
2008-04-08,150.0
2008-04-09,-20.0
2008-04-10,25.0
2008-04-11,0.0
