ticker,CLW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-12-08,-2.8889
2008-12-09,-3.4325
2008-12-10,0.4739
2008-12-11,4.2453
2008-12-12,-2.7149
2008-12-15,-3.4884
2008-12-16,-16.8675
2008-12-17,-10.1449
2008-12-18,-14.5161
2008-12-19,-14.3396
2008-12-22,-21.5859
2008-12-23,-20.2247
2008-12-24,7.4648
2008-12-26,-0.3932
2008-12-29,1.9737
2008-12-30,2.4516
2008-12-31,5.6675
2009-01-02,16.2098
2009-01-05,12.9231
2009-01-06,12.0799
2009-01-07,-16.5316
2009-01-08,-2.6214
2009-01-09,5.4835
2009-01-12,-3.0246
2009-01-13,3.7037
2009-01-14,-9.2105
2009-01-15,-5.2795
2009-01-16,14.7541
2009-01-20,-10.0
2009-01-21,3.0688
2009-01-22,2.4641
2009-01-23,5.3106
2009-01-26,5.6137
2009-01-27,-6.5766
2009-01-28,9.161
2009-01-29,-10.3357
2009-01-30,11.4286
2009-02-02,7.6923
2009-02-03,-8.046
2009-02-04,-4.8214
2009-02-05,5.2533
2009-02-06,-1.2478
2009-02-09,0.9025
2009-02-10,-9.2129
2009-02-11,2.1675
2009-02-12,1.4465
2009-02-13,8.1749
2009-02-17,-7.645
2009-02-18,-3.9962
2009-02-19,6.2438
2009-02-20,-0.8396
2009-02-23,-0.1881
2009-02-24,3.6757999999999997
2009-02-25,2.0909
2009-02-26,-1.5138
2009-02-27,-10.7595
2009-03-02,-27.3556
2009-03-03,-13.3891
2009-03-04,22.2222
2009-03-05,-15.6785
2009-03-06,1.5625
2009-03-09,-1.8462
2009-03-10,3.7618
2009-03-11,-0.3021
2009-03-12,13.0303
2009-03-13,-0.5362
2009-03-16,-6.0647
2009-03-17,4.7346
2009-03-18,7.9452
2009-03-19,1.7766
2009-03-20,-14.9626
2009-03-23,8.2111
2009-03-24,7.0461
2009-03-25,-4.8101
2009-03-26,5.0532
2009-03-27,-8.6076
2009-03-30,2.2161
2009-03-31,8.8076
2009-04-01,5.2304
2009-04-02,8.1657
2009-04-03,-11.5974
2009-04-06,-4.8267
2009-04-07,-4.2913
2009-04-08,8.0163
2009-04-09,6.4151
2009-04-13,-3.9007
2009-04-14,14.3911
2009-04-15,3.7634
2009-04-16,2.2798
2009-04-17,2.6342
2009-04-20,-0.4936
2009-04-21,0.1984
2009-04-22,2.9703
2009-04-23,7.7885
2009-04-24,6.6905
2009-04-27,-6.8562
2009-04-28,6.1041
2009-04-29,0.6768
2009-04-30,27.8992
