ticker,NEX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-01-20,13.9474
2017-01-23,-4.8037
2017-01-24,1.8923
2017-01-25,4.8571
2017-01-26,-1.6803
2017-01-27,2.2633
2017-01-30,0.0903
2017-01-31,-0.3159
2017-02-01,0.4074
2017-02-02,-3.2913
2017-02-03,0.7925
2017-02-06,-1.6651
2017-02-07,-1.0348
2017-02-08,-1.9487
2017-02-09,2.8599
2017-02-10,0.7069
2017-02-13,1.1699
2017-02-14,-0.2313
2017-02-15,-4.3115
2017-02-16,-1.2112
2017-02-17,-4.5120000000000005
2017-02-21,1.3867
2017-02-22,0.6079
2017-02-23,-4.5821
2017-02-24,-3.9577999999999998
2017-02-27,-0.7143
2017-02-28,-3.0437
2017-03-01,2.4543
2017-03-02,-1.0028
2017-03-03,-3.0951
2017-03-06,-0.813
2017-03-07,-0.1756
2017-03-08,-6.5103
2017-03-09,-4.0151
2017-03-10,1.9607999999999999
2017-03-13,2.4359
2017-03-14,-3.0038
2017-03-15,7.0968
2017-03-16,0.4819
2017-03-17,-2.458
2017-03-20,-0.6761
2017-03-21,-1.6089
2017-03-22,-0.3774
2017-03-23,-0.2525
2017-03-24,-3.7342
2017-03-27,-6.7719000000000005
2017-03-28,3.103
2017-03-29,1.3679999999999999
2017-03-30,-2.0918
2017-03-31,-1.4473
2017-04-03,1.3287
2017-04-04,1.1042
2017-04-05,-3.1399
2017-04-06,3.3122
2017-04-07,-0.4093
2017-04-10,5.9589
2017-04-11,1.5514000000000001
2017-04-12,-0.0637
2017-04-13,-1.7833999999999999
2017-04-17,-2.2698
2017-04-18,-1.7252999999999998
2017-04-19,-3.6462
2017-04-20,-2.4527
2017-04-21,-1.0776
2017-04-24,0.7262
2017-04-25,1.2978
2017-04-26,5.1246
2017-04-27,-2.2343
2017-04-28,-4.2936
2017-05-01,-2.2431
2017-05-02,0.3701
2017-05-03,-2.2861000000000002
2017-05-04,-5.5849
2017-05-05,6.235
2017-05-08,-0.301
2017-05-09,-0.3774
2017-05-10,5.5303
2017-05-11,-0.2154
2017-05-12,0.3597
2017-05-15,3.871
2017-05-16,-1.5873
2017-05-17,-0.561
2017-05-18,3.1734999999999998
2017-05-19,9.7744
2017-05-22,1.7435
2017-05-23,-1.4687999999999999
2017-05-24,0.3727
2017-05-25,-1.9183
2017-05-26,1.6404
2017-05-30,-4.7176
2017-05-31,0.1954
2017-06-01,2.6008
2017-06-02,-1.2041
2017-06-05,-1.9885000000000002
2017-06-06,2.356
