ticker,MPLX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-10-26,23.6364
2012-10-31,0.1838
2012-11-01,-2.055
2012-11-02,1.3862999999999999
2012-11-05,-0.2217
2012-11-06,1.963
2012-11-07,-1.126
2012-11-08,-0.8082
2012-11-09,1.6296
2012-11-12,0.0729
2012-11-13,-0.2549
2012-11-14,-1.8255
2012-11-15,0.1116
2012-11-16,0.9658
2012-11-19,-0.4783
2012-11-20,-0.1848
2012-11-21,-0.3704
2012-11-23,0.2602
2012-11-26,0.8528
2012-11-27,0.7353
2012-11-28,2.2993
2012-11-29,2.3546
2012-11-30,0.5925
2012-12-03,3.6036
2012-12-04,-1.1371
2012-12-05,-0.6766
2012-12-06,-0.0681
2012-12-07,2.7607
2012-12-10,1.1277
2012-12-11,2.6566
2012-12-12,0.0319
2012-12-13,-1.1179000000000001
2012-12-14,-0.8075
2012-12-17,-0.3582
2012-12-18,0.2941
2012-12-19,0.1303
2012-12-20,-0.9697
2012-12-21,0.4535
2012-12-24,-1.1776
2012-12-26,0.3972
2012-12-27,0.8572
2012-12-28,-1.1115
2012-12-31,3.1074
2013-01-02,5.3222
2013-01-03,-0.761
2013-01-04,-1.0735999999999999
2013-01-07,-0.6512
2013-01-08,0.9988
2013-01-09,-0.1545
2013-01-10,0.0929
2013-01-11,0.2783
2013-01-14,-0.7709
2013-01-15,1.4295
2013-01-16,2.0221
2013-01-17,-1.1111
2013-01-18,-2.2168
2013-01-22,2.0497
2013-01-23,0.1826
2013-01-24,0.3949
2013-01-25,0.1513
2013-01-28,2.3867
2013-01-29,-1.5344
2013-01-30,2.6371
2013-01-31,1.0128
2013-02-01,3.312
2013-02-04,-1.7997999999999998
2013-02-05,-0.0859
2013-02-06,-1.7770000000000001
2013-02-07,-0.0292
2013-02-08,0.467
2013-02-11,2.2952
2013-02-12,1.4201
2013-02-13,0.6721
2013-02-14,-1.2517
2013-02-15,-1.0141
2013-02-19,3.358
2013-02-20,-3.6068
2013-02-21,-2.1422
2013-02-22,-1.5470000000000002
2013-02-25,-0.5929
2013-02-26,-1.1333
2013-02-27,-0.543
2013-02-28,-0.8493
2013-03-01,0.5812
2013-03-04,1.6423
2013-03-05,3.3811999999999998
2013-03-06,2.1708
2013-03-07,3.6827
2013-03-08,2.4863
2013-03-11,1.0397
2013-03-12,0.0792
2013-03-13,-1.8719000000000001
2013-03-14,-1.5852
2013-03-15,-0.7371
2013-03-18,-0.9901
2013-03-19,0.3889
2013-03-20,2.4073
