ticker,LBRG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-04-26,0.0
2010-04-29,0.0
2010-05-05,64.9485
2010-05-18,-25.0
2010-06-09,-50.0
2010-06-10,0.0
2010-06-23,0.0
2010-06-30,16.6667
2010-07-07,45.7143
2010-07-09,7.8431
2010-07-12,18.1818
2010-07-13,-21.5385
2010-07-19,-11.7647
2010-07-20,33.3333
2010-07-27,-10.0
2010-08-02,-7.4074
2010-08-05,0.0
2010-08-09,0.0
2010-08-16,-10.0
2010-08-17,28.8889
2010-08-18,-5.1724
2010-08-19,3.6364
2010-08-20,0.0
2010-08-23,3.5088
2010-08-24,5.0847
2010-08-25,3.2258
2010-08-26,1.5625
2010-08-27,-3.0769
2010-08-30,9.5238
2010-08-31,-1.4493
2010-09-01,-5.8824
2010-09-02,0.0
2010-09-03,0.0
2010-09-07,-14.0625
2010-09-08,16.3636
2010-09-09,0.0
2010-09-14,-20.3125
2010-09-15,17.647100000000002
2010-09-17,-1.6667
2010-09-20,0.0
2010-09-21,1.6949
2010-09-22,-3.3333
2010-09-24,-13.7931
2010-09-29,-4.0
2010-09-30,12.5
2010-10-01,9.2593
2010-10-04,-6.7797
2010-10-07,-1.8182
2010-10-08,-44.4444
2010-10-11,66.6667
2010-10-12,-2.0
2010-10-15,0.0
2010-10-19,-2.0408
2010-10-20,12.5
2010-10-22,-14.8148
2010-10-26,-19.5652
2010-10-28,2.7027
2010-10-29,0.0
2010-11-01,42.1053
2010-11-02,-25.9259
2010-11-04,-10.0
2010-11-08,-2.7778
2010-11-09,0.0
2010-11-11,0.0
2010-11-12,0.0
2010-11-18,-14.2857
2010-11-19,-3.3333
2010-11-22,0.0
2010-11-23,0.0
2010-11-24,-10.3448
2010-11-26,7.6923
2010-11-29,0.0
2010-11-30,0.0
2010-12-03,-3.5714
2010-12-06,0.0
2010-12-07,-37.037
2010-12-09,0.0
2010-12-10,0.0
2010-12-15,0.0
2010-12-16,0.0
2010-12-17,0.0
2010-12-21,0.0
2010-12-27,-5.8824
2010-12-28,0.0
2010-12-31,6.25
2011-01-03,0.0
2011-01-07,5.8824
2011-01-11,-5.5556
2011-01-18,-5.8824
2011-01-24,-6.25
2011-01-25,6.6667
2011-02-03,0.0
2011-02-08,-25.0
2011-02-09,0.0
2011-02-10,-16.6667
2011-02-14,-64.0
2011-02-15,-16.6667
2011-02-16,-66.6667
2011-02-17,-20.0
2011-02-18,12.5
2011-02-22,9.7222
2011-02-23,-8.8608
2011-02-24,11.1111
