ticker,EXC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.518
2000-01-04,-0.738
2000-01-05,4.8327
2000-01-06,0.1773
2000-01-07,4.6018
2000-01-10,1.3536000000000001
2000-01-11,-0.6678
2000-01-12,0.8403
2000-01-13,3.0
2000-01-14,-0.3236
2000-01-18,-2.1104
2000-01-19,1.8242
2000-01-20,-1.4658
2000-01-21,2.8099
2000-01-24,4.5016
2000-01-25,-1.5385
2000-01-26,2.1875
2000-01-27,2.7523
2000-01-28,-1.9344999999999999
2000-01-31,1.3657
2000-02-01,-0.4491
2000-02-02,0.3008
2000-02-03,4.3478
2000-02-04,-1.1494
2000-02-07,-2.3256
2000-02-08,0.8929
2000-02-09,0.295
2000-02-10,-1.3235000000000001
2000-02-11,-1.6393
2000-02-14,-0.1515
2000-02-15,-0.7587
2000-02-16,-0.3058
2000-02-17,-1.227
2000-02-18,-1.7081
2000-02-22,0.6319
2000-02-23,2.0408
2000-02-24,-5.8824
2000-02-25,1.4803
2000-02-28,1.9449
2000-02-29,-5.0874
2000-03-01,1.1724999999999999
2000-03-02,3.3113
2000-03-03,1.2821
2000-03-06,-1.8987
2000-03-07,-2.5806
2000-03-08,1.1589
2000-03-09,0.3273
2000-03-10,-0.1631
2000-03-13,-0.3268
2000-03-14,-2.1311
2000-03-15,3.5176
2000-03-16,3.7217000000000002
2000-03-17,-3.9002
2000-03-20,-0.1623
2000-03-21,0.813
2000-03-22,-2.5806
2000-03-23,-0.8278
2000-03-24,1.5025
2000-03-27,-1.8092000000000001
2000-03-28,-1.675
2000-03-29,1.3629
2000-03-30,-0.1681
2000-03-31,-0.6734
2000-04-03,0.1695
2000-04-04,6.599
2000-04-05,3.0159
2000-04-06,-2.3112
2000-04-07,0.1577
2000-04-10,4.252
2000-04-11,0.7553
2000-04-12,1.9489999999999998
2000-04-13,2.5
2000-04-14,-1.3809
2000-04-17,-2.2368
2000-04-18,-2.5298
2000-04-19,-0.6107
2000-04-20,2.3041
2000-04-24,0.9009
2000-04-25,2.8274
2000-04-26,1.013
2000-04-27,-1.2894
2000-04-28,-3.193
2000-05-01,0.1499
2000-05-02,-2.5449
2000-05-03,2.1505
2000-05-04,2.406
2000-05-05,1.0279
2000-05-08,0.5814
2000-05-09,1.1561
2000-05-10,2.2857
2000-05-11,1.6760000000000002
2000-05-12,-1.9231
2000-05-15,0.4202
2000-05-16,-0.4184
2000-05-17,-3.0812
2000-05-18,0.0
2000-05-19,0.4335
2000-05-22,4.0288
