ticker,BURL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-10-02,47.1176
2013-10-03,-0.5998
2013-10-04,4.1432
2013-10-07,3.399
2013-10-08,-3.2499000000000002
2013-10-09,-1.4672
2013-10-10,1.8025
2013-10-11,2.6944
2013-10-14,3.1859
2013-10-15,0.6538
2013-10-16,-1.624
2013-10-17,-1.6141
2013-10-18,-1.4541
2013-10-21,-0.0757
2013-10-22,-0.6058
2013-10-23,-1.9048
2013-10-24,1.0097
2013-10-25,1.6148
2013-10-28,1.2107
2013-10-29,0.4112
2013-10-30,0.0372
2013-10-31,-0.2977
2013-11-01,1.3811
2013-11-04,0.0
2013-11-05,-0.3314
2013-11-06,-0.4433
2013-11-07,-0.1113
2013-11-08,0.9287
2013-11-11,-0.4417
2013-11-12,2.5878
2013-11-13,4.2883
2013-11-14,3.1099
2013-11-15,1.1394
2013-11-18,-2.4188
2013-11-19,1.1545
2013-11-20,0.3693
2013-11-21,-1.7726
2013-11-22,-1.8727
2013-11-25,-1.1797
2013-11-26,-0.1404
2013-11-27,-0.0703
2013-11-29,0.0704
2013-12-02,2.18
2013-12-03,-0.9635
2013-12-04,-2.05
2013-12-05,-0.4612
2013-12-06,-0.1426
2013-12-09,0.2855
2013-12-10,-7.758
2013-12-11,8.2948
2013-12-12,-2.7788
2013-12-13,0.1832
2013-12-16,5.8157
2013-12-17,-2.9036
2013-12-18,1.6732
2013-12-19,4.0616
2013-12-20,2.1871
2013-12-23,1.8439
2013-12-24,1.2609
2013-12-26,-1.1175
2013-12-27,1.3884
2013-12-30,-0.1911
2013-12-31,2.1059
2014-01-02,1.5625
2014-01-03,-1.3538000000000001
2014-01-06,-1.5596
2014-01-07,-2.9468
2014-01-08,-0.8162
2014-01-09,-1.58
2014-01-10,-1.8395000000000001
2014-01-13,0.6814
2014-01-14,0.8122
2014-01-15,0.0671
2014-01-16,-1.2076
2014-01-17,-2.275
2014-01-21,-1.1814
2014-01-22,-1.9339
2014-01-23,-0.9681
2014-01-24,-2.3896
2014-01-27,1.2610999999999999
2014-01-28,-3.4432
2014-01-29,-0.6829
2014-01-30,-1.8717000000000001
2014-01-31,-0.4282
2014-02-03,-4.4566
2014-02-04,0.7774
2014-02-05,-1.5022
2014-02-06,1.0717
2014-02-07,-0.2039
2014-02-10,2.6972
2014-02-11,6.1679
2014-02-12,1.012
2014-02-13,0.4082
2014-02-14,-2.5868
2014-02-18,-2.2382
2014-02-19,0.5045
2014-02-20,-3.2819
2014-02-21,0.4391
