ticker,NOAH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-11-10,33.25
2010-11-11,-3.0644
2010-11-12,6.7742
2010-11-15,-0.3021
2010-11-16,-6.0606
2010-11-17,6.4516
2010-11-18,1.8788
2010-11-19,7.0791
2010-11-22,14.5556
2010-11-23,-4.1222
2010-11-24,-3.5407
2010-11-26,-3.5134
2010-11-29,-6.7391
2010-11-30,-5.8275
2010-12-01,7.9827
2010-12-02,11.1175
2010-12-03,-1.6503
2010-12-06,-5.6109
2010-12-07,3.6667
2010-12-08,-3.537
2010-12-09,-6.3333
2010-12-10,1.72
2010-12-13,4.4315
2010-12-14,-2.6242
2010-12-15,-3.0963
2010-12-16,0.0
2010-12-17,4.4379
2010-12-20,5.0992
2010-12-21,2.4259
2010-12-22,5.4737
2010-12-23,0.0998
2010-12-27,-0.1496
2010-12-28,-1.6475
2010-12-29,-3.3585
2010-12-30,1.6368
2010-12-31,1.0336
2011-01-03,-2.4552
2011-01-04,-6.1353
2011-01-05,0.558
2011-01-06,0.3007
2011-01-07,0.144
2011-01-10,1.6593
2011-01-11,3.5365
2011-01-12,-0.9459
2011-01-13,-1.8568
2011-01-14,-1.8864999999999998
2011-01-18,0.3801
2011-01-19,2.4698
2011-01-20,-2.7852
2011-01-21,-6.5014
2011-01-24,-2.1803
2011-01-25,-0.9036
2011-01-26,0.9726
2011-01-27,-1.8061
2011-01-28,-1.6554
2011-01-31,0.5611
2011-02-01,0.682
2011-02-02,-1.4163000000000001
2011-02-03,-0.0625
2011-02-04,0.0625
2011-02-07,-0.0625
2011-02-08,0.25
2011-02-09,-0.1247
2011-02-10,-0.1248
2011-02-11,0.1875
2011-02-14,0.811
2011-02-15,0.8663
2011-02-16,0.4908
2011-02-17,0.3663
2011-02-18,-0.0608
2011-02-22,-0.913
2011-02-23,-1.3514
2011-02-24,-3.9228
2011-02-25,-11.6656
2011-02-28,-4.9155999999999995
2011-03-01,0.3086
2011-03-02,11.7692
2011-03-03,-0.4129
2011-03-04,-2.9717000000000002
2011-03-07,-0.3561
2011-03-08,-4.4317
2011-03-09,2.3186
2011-03-10,3.8012
2011-03-11,0.0
2011-03-14,-0.7746
2011-03-15,-0.8517
2011-03-16,-2.219
2011-03-17,-1.1713
2011-03-18,-0.1481
2011-03-21,5.0445
2011-03-22,0.3531
2011-03-23,-0.0704
2011-03-24,6.9718
2011-03-25,3.3575
2011-03-28,1.7197
2011-03-29,-1.6907
2011-03-30,-2.293
2011-03-31,-4.6284
