ticker,SRRK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-05-24,10.7143
2018-05-25,-3.2258
2018-05-29,7.4667
2018-05-30,2.3573
2018-05-31,6.0
2018-06-01,12.3499
2018-06-04,-10.9415
2018-06-05,-1.4285999999999999
2018-06-06,1.1014
2018-06-07,10.6651
2018-06-08,-2.7979000000000003
2018-06-11,-7.7292
2018-06-12,1.7330999999999999
2018-06-13,7.439
2018-06-14,-1.1628
2018-06-15,0.5348
2018-06-18,13.9894
2018-06-19,19.4587
2018-06-20,-11.9141
2018-06-21,2.7494
2018-06-22,-6.6897
2018-06-25,-8.6494
2018-06-26,10.1772
2018-06-27,-15.0735
2018-06-28,-14.5022
2018-06-29,-1.2658
2018-07-02,-4.9359
2018-07-03,1.1463
2018-07-05,0.0667
2018-07-06,0.6662
2018-07-09,-2.0185
2018-07-10,3.9514
2018-07-11,1.7544
2018-07-12,1.8519
2018-07-13,-1.0658
2018-07-16,-3.0418
2018-07-17,-0.6536
2018-07-18,0.3289
2018-07-19,0.9836
2018-07-20,0.0649
2018-07-23,-2.6606
2018-07-24,0.8667
2018-07-25,1.7845
2018-07-26,0.9091
2018-07-27,0.3861
2018-07-30,0.641
2018-07-31,3.4395
2018-08-01,2.4631
2018-08-02,-5.9495000000000005
2018-08-03,-2.2364
2018-08-06,-0.9804
2018-08-07,0.33
2018-08-08,1.8420999999999998
2018-08-09,-8.3979
2018-08-10,1.4104
2018-08-13,-6.8846
2018-08-14,3.8087999999999997
2018-08-15,0.8633
2018-08-16,5.9201
2018-08-17,1.2121
2018-08-20,7.4518
2018-08-21,10.7121
2018-08-22,11.0179
2018-08-23,0.1008
2018-08-24,-0.9059
2018-08-27,-4.5201
2018-08-28,5.9574
2018-08-29,-5.4217
2018-08-30,-8.9703
2018-08-31,-0.8163
2018-09-04,17.5779
2018-09-05,-0.45
2018-09-06,1.2557
2018-09-07,13.8393
2018-09-10,10.6318
2018-09-11,0.1969
2018-09-12,0.7469
2018-09-13,2.419
2018-09-14,-4.9905
2018-09-17,1.3633
2018-09-18,1.3054000000000001
2018-09-19,-1.2886
2018-09-20,-3.9161
2018-09-21,-0.4117
2018-09-24,-0.2067
2018-09-25,1.9056
2018-09-26,-1.5447
2018-09-27,-5.1197
2018-09-28,12.054
2018-10-01,-4.3107
2018-10-02,-0.2841
2018-10-03,-1.0175
2018-10-04,-1.2336
2018-10-05,-4.1216
2018-10-08,-4.5593
2018-10-09,-9.9181
2018-10-10,-6.5657
