ticker,AL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-04-19,5.4717
2011-04-20,0.5367
2011-04-21,3.3808
2011-04-25,-0.8606
2011-04-26,0.0
2011-04-27,-0.8333
2011-04-28,-1.8908
2011-04-29,-1.4989
2011-05-02,0.2536
2011-05-03,-1.9516
2011-05-04,-1.6218
2011-05-05,-0.2623
2011-05-06,0.5259
2011-05-09,1.9058000000000002
2011-05-10,1.7602
2011-05-11,0.2162
2011-05-12,3.0205
2011-05-13,1.0471
2011-05-16,0.1036
2011-05-17,-1.4838
2011-05-18,1.5762
2011-05-19,1.8620999999999999
2011-05-20,0.5416
2011-05-23,-3.1987
2011-05-24,0.1043
2011-05-25,-1.9458
2011-05-26,1.1694
2011-05-27,-0.4203
2011-05-31,0.2462
2011-06-01,-2.4912
2011-06-02,-0.7197
2011-06-03,-4.4219
2011-06-06,-2.3512
2011-06-07,-3.1845
2011-06-08,-1.1231
2011-06-09,1.0142
2011-06-10,0.0402
2011-06-13,2.8904
2011-06-14,2.7312
2011-06-15,-2.0889
2011-06-16,-0.1164
2011-06-17,0.5825
2011-06-20,-0.3475
2011-06-21,0.0
2011-06-22,-0.4649
2011-06-23,-2.7248
2011-06-24,-5.7623
2011-06-27,1.8258999999999999
2011-06-28,3.7948
2011-06-29,-1.5669
2011-06-30,-0.8571
2011-07-01,3.17
2011-07-05,-0.3192
2011-07-06,0.1201
2011-07-07,0.1999
2011-07-08,-0.1596
2011-07-11,-0.7194
2011-07-12,-1.409
2011-07-13,0.2858
2011-07-14,0.8143
2011-07-15,-0.1616
2011-07-18,-0.5259
2011-07-19,0.9353
2011-07-20,0.2417
2011-07-21,0.2814
2011-07-22,0.0
2011-07-25,-0.0802
2011-07-26,0.1203
2011-07-27,-0.8814
2011-07-28,-1.0509
2011-07-29,-0.2042
2011-08-01,-0.2865
2011-08-02,-3.7767
2011-08-03,-0.2986
2011-08-04,-4.4501
2011-08-05,0.8509
2011-08-08,-9.5471
2011-08-09,3.9273
2011-08-10,-3.6372
2011-08-11,4.4118
2011-08-12,5.9155
2011-08-15,1.1082
2011-08-16,-1.6221
2011-08-17,-0.4902
2011-08-18,-3.8513
2011-08-19,-1.4905
2011-08-22,1.182
2011-08-23,2.0561
2011-08-24,0.2747
2011-08-25,-1.8265
2011-08-26,1.7673999999999999
2011-08-29,3.2907
2011-08-30,0.0442
2011-08-31,0.8846
2011-09-01,-1.929
2011-09-02,-1.8328
2011-09-06,-2.2313
2011-09-07,1.4439
