ticker,GLLL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-07-27,1.3514
2018-08-31,-3.3333
2018-09-10,0.6897
2018-10-01,-0.6849
2018-11-27,3.4483
2018-12-21,-2.0
2019-02-28,-8.1633
2019-04-02,-3.7037
2019-06-03,3.8462
2019-10-24,-10.3704
2019-12-17,3.3058
2019-12-20,-4.0
2020-02-07,0.0
2020-07-23,-23.3333
