ticker,SPOT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-04-03,12.8864
2018-04-04,-3.2145
2018-04-05,-0.1595
2018-04-06,2.7294
2018-04-09,1.4062000000000001
2018-04-10,3.2667
2018-04-11,-3.4409
2018-04-12,-0.3142
2018-04-13,-0.0671
2018-04-16,-3.1409
2018-04-17,2.8894
2018-04-18,4.3235
2018-04-19,-0.9296
2018-04-20,3.2449
2018-04-23,-0.2588
2018-04-24,-1.8793
2018-04-25,-1.1221
2018-04-26,2.1327
2018-04-27,2.1584
2018-04-30,1.0564
2018-05-01,1.9855
2018-05-02,3.1053
2018-05-03,-5.6588
2018-05-04,-3.8159
2018-05-07,-2.7616
2018-05-08,0.4267
2018-05-09,-0.3784
2018-05-10,5.3708
2018-05-11,-0.8601
2018-05-14,2.0412
2018-05-15,-0.7876
2018-05-16,1.6886
2018-05-17,-1.6296
2018-05-18,-5.0139
2018-05-21,-0.3846
2018-05-22,0.1398
2018-05-23,2.6192
2018-05-24,0.1425
2018-05-25,1.3002
2018-05-29,-1.2644
2018-05-30,1.1383
2018-05-31,0.8505
2018-06-01,0.9701
2018-06-04,2.2545
2018-06-05,1.3081
2018-06-06,0.4122
2018-06-07,0.2355
2018-06-08,3.2824999999999998
2018-06-11,0.519
2018-06-12,-1.2415
2018-06-13,0.3466
2018-06-14,4.2618
2018-06-15,-1.7294
2018-06-18,-0.3828
2018-06-19,-2.5581
2018-06-20,3.8319
2018-06-21,1.7744
2018-06-22,0.7854
2018-06-25,-5.8417
2018-06-26,3.2928
2018-06-27,-2.1764
2018-06-28,-2.585
2018-06-29,0.322
2018-07-02,1.4563
2018-07-03,-1.1893
2018-07-05,4.6128
2018-07-06,-0.4194
2018-07-09,0.9903
2018-07-10,1.6851
2018-07-11,1.0641
2018-07-12,3.2904
2018-07-13,-0.6053
2018-07-16,-1.5971
2018-07-17,1.5362
2018-07-18,-0.4812
2018-07-19,-2.1273
2018-07-20,0.3293
2018-07-23,2.8776
2018-07-24,-0.1276
2018-07-25,0.0958
2018-07-26,4.4098
2018-07-27,-5.0999
2018-07-30,-5.0894
2018-07-31,3.4165
2018-08-01,-1.4823
2018-08-02,-0.2276
2018-08-03,-2.3427
2018-08-06,2.5356
2018-08-07,-0.239
2018-08-08,-0.4568
2018-08-09,4.8573
2018-08-10,0.8966
2018-08-13,1.317
2018-08-14,1.1485
2018-08-15,-1.7652
2018-08-16,1.0666
2018-08-17,-2.0742
2018-08-20,-1.0458
2018-08-21,2.1352
